Unnamed: 0,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
0,0.078,12.0,,228.5714,,139.0,46.9466,0.0,3.5053,1.2227,3.2852,4.0,-13.7188,207.5195,5.554,52.9524,123.0,,,,70.5755,,,,,77.0,59.0,21.0,59.0,38.0,258.0,0.2461,2.0625,1.0,0.0,4.75,25.1094,8.4219,3.6875,10.9375,464.0503,514.0991,26.0,,-2.8906,25.3281,15.5156,0.0,0.0,l
1,0.498,10.0,,150.0,,398.0,0.5,0.0,13.6672,12.4648,5.6055,9.0,-16.2031,845.3979,2.0201,99.5,2.0,,,,24.6482,,,,,,34.0,36.0,328.0,47.0,324.0,0.8047,3.75,6.125,-1.2578,6.0,92.6719,2.1563,-19.9844,-4.9063,913.8184,696.7163,28.0,,-6.4375,12.9063,82.6875,0.0,1299.0,r
2,0.603,13.0,,160.0,,329.0,12.2667,0.0,6.4377,5.9023,2.5703,16.0,-5.0625,232.9102,2.5593,87.7333,46.0,,,,29.8176,,,,,84.0,2.0,36.0,291.0,33.0,322.0,0.9141,1.8125,0.0625,0.0,4.75,75.4375,-1.3438,14.7656,14.9219,529.2969,678.2837,26.0,,-21.5625,-4.4063,67.9219,0.00875,525.0,l
3,1.298,11.0,,149.6259,,379.0,5.4863,0.0,13.2643,10.9297,7.5156,11.0,-19.5156,828.186,2.2322,94.5137,22.0,,,,25.8839,,,,,4.0,13.0,54.0,312.0,57.0,328.0,0.7305,3.25,2.25,-2.2266,6.0,90.7031,6.7969,-16.625,1.2031,1050.6592,676.3306,28.0,,-13.4063,7.5625,81.4219,0.0133333333333333,2099.0,r
4,1.3530000000000002,14.0,,149.2537,,366.0,8.9552,0.0,11.265,7.8594,8.0703,16.0,-5.5625,724.6094,2.3934,91.0448,36.0,,,,26.8033,,,,,40.0,2.0,28.0,336.0,42.0,320.0,0.1289,1.3125,1.8125,-2.4961,4.5,81.875,-2.0469,16.7813,-1.3906,1214.1113,600.708,26.0,,-23.8438,-0.3438,75.4219,0.02125,1275.0,l
5,2.1,12.0,,154.2416,,375.0,3.599,0.0,15.77,15.0352,4.7578,10.0,-12.7344,1408.3862,2.1493,96.401,14.0,,,,26.16,,,,,22.0,13.0,22.0,340.0,55.0,316.0,0.0781,4.75,3.875,-1.8867,5.75,95.9375,4.2969,-14.4063,-6.2031,1649.4141,1036.5601,28.0,,-11.2188,8.9688,84.0469,0.0267,2901.0,r
6,2.157,15.0,,149.2537,,340.0,15.4229,0.0,10.8576,7.9102,7.4375,16.0,-6.5156,838.3179,2.7294,84.5771,62.0,,,,28.8529,,,,,28.0,6.0,30.0,304.0,83.0,317.0,0.957,1.25,1.6875,-2.2578,4.5,97.6094,-2.5938,18.1563,12.0781,1266.5405,661.8042,26.0,,-21.8906,-2.375,71.7969,0.03465,2079.0,l
7,2.878,13.0,,158.3113,,373.0,1.5831,0.0,17.2998,14.9375,8.7266,11.0,-13.0625,1521.4844,2.0643,98.4169,6.0,,,,26.3003,,,,,38.0,12.0,24.0,337.0,54.0,303.0,0.6523,4.125,3.625,-1.5859,4.75,92.3125,4.2656,-18.4531,-4.8906,1724.1211,845.2759,28.0,,-14.5938,7.7969,82.0,0.0396666666666666,3679.0,r
8,2.961,16.0,,152.6718,,374.0,4.8346,0.0,12.8535,8.8594,9.3125,16.0,-8.6875,1144.104,2.2032,95.1654,19.0,,,,26.2299,,,,,26.0,10.0,29.0,335.0,53.0,315.0,0.7617,6.5,3.25,-2.0352,4.25,90.5469,-5.0469,14.4688,7.9688,1371.3379,559.5093,26.0,,-27.0781,-1.8906,80.1875,0.04805,2883.0,l
9,3.636,14.0,,154.8387,,387.0,0.0,0.0,16.3955,14.0508,8.4492,11.0,-17.0781,1283.0811,2.0052,99.871,0.0,,,,25.3488,,,,,23.0,14.0,28.0,345.0,56.0,302.0,0.8125,6.125,3.4375,-2.1406,5.5,93.5313,7.8906,-25.7656,-3.9844,1604.4312,596.5576,28.0,,-20.8906,8.125,81.7188,0.0523,4437.0,r
10,3.747,17.0,,154.0436,,364.0,6.4267,0.0,13.743,9.0352,10.3555,15.0,-10.1719,1032.3486,2.2802,93.4531,25.0,,,,26.9505,,,,,34.0,12.0,24.0,328.0,52.0,318.0,1.0898,4.375,3.25,-2.0703,4.25,91.4063,-3.5313,12.9219,4.4844,1319.8242,579.0405,26.0,,-27.4375,0.4531,82.2969,0.06115,3669.0,l
11,4.4110000000000005,15.0,,155.8442,,364.0,5.4545,0.0,17.453,15.75,7.5195,11.0,-13.3125,1569.8853,2.2308,94.5455,21.0,,,,26.9505,,,,,19.0,12.0,22.0,330.0,73.0,312.0,0.7578,4.25,3.5,-1.7969,6.25,92.5938,6.8594,-20.5781,-5.5625,1769.4092,933.1055,28.0,,-17.9844,7.8281,77.0625,0.0652166666666666,5212.0,r
12,4.526,18.0,,158.7302,,360.0,4.7619,0.0,11.8622,8.7656,7.9922,13.0,-8.3125,1229.9194,2.2,95.2381,18.0,,,,27.25,,,,,38.0,12.0,32.0,316.0,58.0,312.0,0.9023,6.5625,3.6875,-1.4336,4.25,89.9063,-4.9531,14.5156,8.5313,1849.4873,642.8223,26.0,,-30.4531,4.1563,77.5938,0.0741333333333333,4448.0,l
