,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
13,4.547000000000004,22.0,,175.1825,,282.0,17.5439,0.0,13.4111,10.5703,8.2539,7.0,-17.1875,747.9248,2.8582,82.3358,60.0,,,,34.7872,,,,,119.0,28.0,34.0,220.0,91.0,276.0,0.5469,4.8125,6.5,-5.6797,36.75,87.4844,12.1094,3.0625,26.7656,927.4902,828.186,20.5,,-14.4063,17.1563,84.3125,0.5394166666666667,41801.0,r
14,4.881000000000004,18.0,4.2445,177.5148,2.7984,352.0,0.0,250.0,14.5907,11.7656,8.6289,6.0,-13.3438,606.0181,1.8409,104.142,-14.0,0.0394,1.5982,28.2296,27.8693,13.2507,2.7252,162.6282,98.3439,126.0,28.0,41.0,283.0,26.0,264.0,0.0742,4.0625,6.4375,-10.5039,35.0,95.2031,-6.3906,-11.25,-16.5781,847.8394,862.4268,20.5,1.3992,-20.9219,18.9063,95.7031,0.48280000000000006,42730.0,l
15,5.231999999999999,23.0,3.2284,180.4511,2.1166,312.0,6.0241,379.0,15.3075,13.1914,7.7656,7.0,-17.8125,739.7461,2.2628,93.8346,20.0,0.1062,4.2008,17.2394,31.4423,7.5025,1.6902,112.1587,66.1336,127.0,24.0,36.0,252.0,59.0,270.0,0.3867,4.75,9.0625,-5.4453,36.5,89.0469,10.5781,5.4063,21.8438,1057.9224,869.873,20.5,1.0583,-22.0938,16.2344,89.7344,0.5508333333333333,42486.0,r
16,5.557000000000002,19.0,4.3497,176.9912,2.8773,370.0,0.0,260.0,14.1603,10.8281,9.125,7.0,-12.3281,717.2852,1.6649,109.1445,-31.0,0.1877,1.1718,66.349,26.5135,16.3117,3.1136,185.1689,112.7296,122.0,26.0,36.0,308.0,14.0,262.0,0.2227,5.125,7.0,-10.6172,35.5,96.4219,-9.1406,-14.8906,-20.6719,865.6616,827.0264,20.5,1.4386,-25.1719,18.5156,96.5313,0.4940666666666667,43406.0,l
17,5.8969999999999985,24.0,2.9772,176.7305,1.9725,307.0,9.4395,289.0,14.5891,12.457,7.5938,8.0,-16.25,749.3896,2.4235,90.4271,32.0,0.2918,4.9929,15.477,31.9544,6.7262,1.4389,102.0259,59.6667,127.0,22.0,35.0,250.0,76.0,258.0,0.6563,4.4375,8.1875,-5.2227,36.5,95.75,10.4688,5.5,19.125,989.624,815.5518,20.5,0.9862,-19.5938,15.5625,91.7344,0.5619166666666666,43151.0,r
18,6.235000000000003,20.0,4.237,177.7778,2.8247,360.0,0.0,253.0,15.063,12.1992,8.8359,7.0,-11.5313,701.9043,1.75,106.6667,-23.0,0.1053,1.4536,38.6713,27.25,13.7515,2.8445,167.5901,101.5106,127.0,24.0,38.0,298.0,14.0,267.0,0.3867,3.9375,6.5625,-9.5898,35.5,91.7969,-8.25,-18.75,-25.0156,811.4014,814.7583,20.5,1.4123,-20.2188,16.0313,92.3281,0.5053666666666667,44084.0,l
19,6.5760000000000005,25.0,2.7714,176.2115,1.8489,373.0,0.0,200.0,14.0661,11.8477,7.582,8.0,-14.8125,728.8818,1.6515,109.5448,-33.0,0.331,3.6403,75.5094,26.3003,6.4982,1.6439,101.6113,59.4021,115.0,27.0,34.0,312.0,8.0,272.0,0.168,4.625,7.375,-4.8438,35.25,96.0156,9.5781,5.625,16.2656,952.3315,813.5986,20.5,0.9245,-28.2813,15.9688,96.3438,0.5732333333333333,43830.0,r
20,6.910000000000004,21.0,4.1055,177.5148,2.7495,364.0,0.0,221.0,15.9266,13.7852,7.9766,8.0,-10.7188,737.1826,1.7143,107.6923,-26.0,0.1382,1.5246,46.2768,26.9505,12.822,2.7263,160.0261,96.6832,123.0,20.0,34.0,310.0,18.0,263.0,0.2695,3.625,8.1875,-9.0273,35.0,99.9219,-8.0781,-13.0625,-18.4063,989.1357,863.4644,20.5,1.3748,-20.6875,15.3906,99.8281,0.5166166666666667,44759.0,l
21,7.256999999999998,26.0,2.5613,177.2526,1.7172,263.0,22.1893,117.0,16.2326,14.4883,7.3203,7.0,-15.4844,671.814,3.1483,77.6957,75.0,1.8406,8.1905,14.8081,37.3004,5.484,1.041,90.4655,52.2887,121.0,23.0,40.0,200.0,114.0,270.0,0.6055,4.5625,9.875,-4.707,35.25,91.9375,9.8906,-1.9844,20.1563,1073.6084,837.4634,20.5,0.8586,-10.6094,16.4688,77.0781,0.5845833333333332,44511.0,r
22,7.586000000000002,22.0,3.9666,173.4104,2.6744,266.0,23.1214,223.0,15.475,12.7852,8.7188,8.0,-10.3125,587.0972,3.203,76.8786,80.0,1.3448,4.7293,14.2338,36.8797,9.3714,1.6108,122.6903,72.855,116.0,21.0,42.0,203.0,107.0,279.0,0.5195,3.9375,7.4375,-8.375,35.75,98.3906,-8.1719,-0.8438,-23.1094,871.582,1036.8652,20.5,1.3372,1.9063,15.4844,89.0156,0.5278833333333334,45435.0,l
23,7.9339999999999975,27.0,2.4172,175.4386,1.6307,322.0,5.848,107.0,15.1414,12.9844,7.7891,8.0,-18.375,704.7729,2.2484,94.152,20.0,0.1379,6.0821,16.4236,30.4658,5.2824,1.1797,86.9874,50.0689,117.0,22.0,40.0,260.0,83.0,246.0,0.9258,5.0,9.125,-4.1211,35.25,99.2656,11.9844,2.9375,17.9063,1020.752,934.9365,20.5,0.8153,-19.3594,14.9688,94.7969,0.5958666666666665,45188.0,r
24,8.278000000000002,23.0,3.8802,176.4706,2.6293,306.0,10.0,265.0,16.242,13.6836,8.75,6.0,-9.4219,675.8423,2.4444,90.0,34.0,0.2471,3.241,15.3357,32.0588,9.6841,1.943,129.0842,76.9357,118.0,26.0,36.0,244.0,68.0,276.0,0.4297,5.75,9.5,-8.3789,35.75,98.2031,-7.7813,-2.875,-23.5156,1147.2168,915.2222,20.5,1.3147,1.7344,19.375,95.75,0.5394166666666667,46127.0,l
25,8.617999999999995,28.0,2.2813,174.1655,1.5483,256.0,25.5814,213.0,13.9567,11.2344,8.2813,9.0,-17.5,880.3711,3.3828,74.3106,88.0,2.809,9.4194,14.6197,38.3203,4.8142,0.8575,83.3021,47.7169,123.0,20.0,34.0,202.0,131.0,258.0,1.2578,5.4375,9.1875,-4.4297,36.5,90.6875,11.4844,2.8438,21.2031,1094.1772,803.833,20.5,0.7742,-12.1719,13.0,74.7813,0.6072666666666665,45872.0,r
26,8.957999999999995,24.0,3.7374,176.9912,2.5354,279.0,17.6991,266.0,16.5356,14.3125,8.2813,7.0,-10.375,556.8237,2.8602,82.3009,60.0,0.798,4.4978,14.6251,35.1613,8.7911,1.6729,120.5138,71.4659,128.0,22.0,42.0,215.0,89.0,272.0,0.7383,4.25,9.0625,-8.0859,35.75,95.2813,-7.2969,-0.8125,-16.75,942.2607,871.1548,20.5,1.2677,-3.4688,16.0,91.2188,0.55075,46807.0,l
27,9.306999999999988,29.0,2.1701,178.3061,1.4742,270.0,19.6429,205.0,15.2796,13.2813,7.5547,8.0,-13.4688,711.4868,2.9852,80.2377,66.0,1.6603,9.0592,14.8586,36.3333,4.5809,0.9123,82.0269,46.9031,117.0,22.0,38.0,210.0,109.0,272.0,0.3711,4.3125,9.125,-2.7695,36.25,97.6875,9.2344,-2.2813,16.5313,1023.4985,815.7959,20.5,0.7371,-12.0938,14.5,85.1875,0.6187499999999998,46561.0,r
28,9.636,25.0,3.606,177.7778,2.4453,362.0,0.0,264.0,17.5277,15.75,7.6914,8.0,-9.3594,707.3975,1.7293,107.2593,-25.0,0.1437,2.1859,42.7329,27.0994,9.5984,2.2463,132.8815,79.3591,125.0,14.0,32.0,316.0,16.0,265.0,0.0977,5.0625,13.3125,-7.8633,35.5,97.875,-7.5781,-14.2188,-19.5156,1324.8901,885.9253,20.5,1.2226,-21.1875,13.7656,98.0781,0.5620499999999999,47485.0,l
29,9.97999999999999,30.0,2.0837,177.7778,1.4124,274.0,18.6944,193.0,15.5903,13.4414,7.8984,8.0,-16.2969,706.1768,2.927,81.1852,63.0,1.579,9.1382,14.7536,35.8029,4.3888,0.8816,79.8058,45.4856,119.0,22.0,41.0,211.0,95.0,280.0,0.543,4.625,9.375,-3.1445,36.25,97.3594,11.6094,-5.3906,13.7344,1048.3398,823.1201,20.5,0.7062,-12.0313,15.2344,85.8281,0.6299666666666665,47234.0,r
30,10.310999999999996,26.0,3.4557,175.9531,2.3476,371.0,0.0,266.0,16.2876,14.2422,7.9023,8.0,-11.8906,781.5552,1.6765,108.7977,-30.0,0.2155,2.2483,59.1122,26.442,9.0688,2.1295,126.6039,75.3527,120.0,19.0,36.0,316.0,22.0,255.0,0.2109,4.5625,9.9375,-7.0508,35.5,100.4688,-9.6406,-13.25,-20.4531,1063.1104,892.8833,20.5,1.1738,-21.0625,14.0469,100.6563,0.5732999999999999,48160.0,l
31,10.654999999999987,31.0,2.0178,175.6955,1.3713,263.0,22.8739,200.0,16.2,14.168,7.8555,7.0,-16.9219,718.5059,3.1939,77.0132,78.0,2.4922,9.8683,14.6004,37.3004,4.2266,0.7937,78.0183,44.3448,123.0,23.0,40.0,200.0,110.0,272.0,0.5547,4.8125,9.6875,-2.8672,36.25,89.7188,11.3281,-2.0781,22.2813,1055.2368,844.6655,20.5,0.6856,-9.1875,17.1094,79.8906,0.6412166666666664,47909.0,r
32,10.992999999999991,27.0,3.3017,176.9912,2.2425,302.0,10.9145,294.0,16.1667,13.4063,9.0352,8.0,-11.1563,752.3804,2.4901,89.0855,37.0,0.3431,4.4334,15.2425,32.4834,7.6473,1.5883,110.7204,65.2156,132.0,20.0,35.0,247.0,54.0,280.0,0.1719,4.25,9.0625,-6.7188,36.25,101.7656,-9.1875,-4.4063,-20.8125,978.3325,958.8623,20.5,1.1212,-0.875,14.3438,101.2344,0.5846666666666666,48842.0,l
