Unnamed: 0,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
11,4.255000000000001,13.0,1.5782,172.9107,1.2372,220.0,36.5994,436.0,14.0539,13.2422,4.707,3.0,-12.3594,712.7075,4.3091,63.4006,127.0,7.2877,14.2449,16.6864,44.5909,3.2424,0.492,72.3191,40.7074,102.0,30.0,29.0,161.0,179.0,267.0,1.7773,3.5,8.75,-2.8906,11.25,116.8125,-8.2656,3.8438,1.8281,782.2266,1120.1172,24.5,0.6186,-2.0781,27.625,69.7656,0.2161666666666666,13732.0,l
12,4.706,9.0,1.5263,175.6955,1.0765,223.0,34.6041,122.0,13.214,11.5508,6.418,5.0,-15.7188,703.6743,4.1256,65.3001,118.0,7.2317,14.2228,16.6658,43.991,3.1341,0.5041,71.6502,40.2806,106.0,26.0,36.0,161.0,165.0,274.0,1.6055,5.5,9.375,-2.4063,11.0,89.5938,2.9844,-1.7031,5.6406,802.8564,894.4092,25.5,0.5382,5.0625,24.1563,62.4531,0.0854333333333333,9739.0,r
13,4.949000000000002,14.0,1.775,166.6667,1.2478,227.0,36.9444,538.0,14.4618,13.3164,5.6406,3.0,-11.5,628.479,4.3436,63.0556,133.0,7.9173,12.8422,15.602,43.2159,3.6648,0.518,73.4139,41.4061,78.0,36.0,32.0,159.0,183.0,280.0,0.7969,3.75,8.0,-2.75,11.25,112.2656,-7.7344,-0.2188,2.3594,716.5527,913.6353,24.5,0.6239,-0.9688,30.4219,65.5625,0.2277333333333333,14426.0,l
14,5.388999999999999,10.0,1.5223,174.4186,1.0524,223.0,35.1744,129.0,14.1654,13.0508,5.5078,4.0,-17.0,636.1694,4.1704,64.8256,121.0,7.7718,14.176,16.5563,43.991,3.1256,0.4917,71.2458,40.0224,97.0,24.0,56.0,143.0,171.0,277.0,0.8477,5.25,10.125,-2.4609,11.0,95.4844,4.5469,1.3594,11.4844,775.8789,895.5688,25.5,0.5262,5.9375,26.3594,65.125,0.0968166666666666,10422.0,r
15,5.6690000000000005,15.0,1.8102,171.9198,1.2759,225.0,35.5301,550.0,15.2432,13.7656,6.5469,4.0,-13.9063,872.4976,4.2044,64.4699,124.0,6.7422,13.1004,16.1841,43.6,3.7389,0.57,75.6556,42.8368,94.0,30.0,36.0,159.0,177.0,272.0,1.3203,4.75,8.8125,-2.3398,11.25,103.8281,-9.5156,2.9531,-5.6563,889.0381,937.1338,24.5,0.638,-1.3281,26.3594,64.5313,0.2397333333333333,15146.0,l
16,6.076999999999999,11.0,1.695,172.6619,1.1729,222.0,36.0231,143.0,14.818,13.7422,5.543,4.0,-18.1875,669.7998,4.2613,63.8849,125.0,7.4457,13.7261,16.4933,44.1892,3.4911,0.5338,74.1687,41.8879,95.0,26.0,46.0,150.0,175.0,276.0,1.0469,5.5,10.4375,-2.457,11.0,106.625,4.2969,0.0625,3.1406,846.6187,914.7339,25.5,0.5864,5.8125,24.5781,66.7656,0.1082833333333333,11110.0,r
17,6.367000000000001,16.0,1.8207,169.4915,1.29,223.0,37.0056,528.0,15.2222,12.9141,8.0586,5.0,-11.9375,901.8555,4.3498,62.9944,131.0,7.4355,13.1796,16.1538,43.991,3.7603,0.547,75.4406,42.6996,94.0,34.0,30.0,159.0,175.0,276.0,0.75,4.5625,7.3125,-2.3555,10.5,110.7344,-9.7969,0.9844,-5.2031,918.6401,992.9199,24.5,0.645,-0.6094,23.8125,67.4844,0.2513666666666667,15844.0,l
18,6.771999999999999,12.0,1.8597,165.5172,1.2894,224.0,38.1215,204.0,12.291,11.5781,4.125,4.0,-15.1406,700.0732,4.4732,61.7931,138.0,8.2445,12.8623,15.764,43.7946,3.8448,0.5274,74.9973,42.4167,75.0,28.0,35.0,161.0,185.0,284.0,1.4453,3.875,8.5,-2.4414,11.75,114.1563,4.2344,0.0781,3.1406,805.4199,888.3057,25.5,0.6447,7.9531,26.7656,67.2188,0.1198666666666666,11805.0,r
19,7.074999999999999,17.0,1.8348,171.6738,1.3005,209.0,40.1146,506.0,14.6361,12.7031,7.2695,7.0,-11.9219,854.0649,4.689,59.7997,140.0,8.41,14.6755,17.668,46.9378,3.7813,0.5361,78.1449,44.4255,107.0,18.0,32.0,159.0,175.0,277.0,1.1406,5.5625,10.0,-3.1719,10.5,105.8438,-5.9688,3.1875,-3.0781,899.7192,893.4937,24.5,0.6503,-2.0938,16.6875,64.3438,0.2631666666666666,16552.0,l
20,7.496999999999999,13.0,1.8316,169.2525,1.2894,220.0,37.8531,212.0,14.6254,12.9766,6.7461,5.0,-16.2813,790.0391,4.4455,62.0592,134.0,7.7794,13.4329,16.3979,44.5909,3.7816,0.5427,75.9996,43.0564,89.0,25.0,36.0,159.0,180.0,279.0,2.4102,5.0,10.0,-2.2695,11.0,105.4688,3.25,1.9063,3.3281,863.0981,929.3213,25.5,0.6447,7.625,23.5,68.0156,0.1319499999999999,12530.0,r
