,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
0,0.08,6.0,,165.7459,,272.0,24.8619,0.0,11.6056,7.8555,8.543,5.0,-8.3438,498.8403,3.3235,75.1381,90.0,,,,36.0662,,,,,58.0,32.0,29.0,211.0,149.0,289.0,0.668,7.0,4.875,-1.6836,-34.0,92.2656,-7.4219,-2.25,-22.375,675.1709,658.7524,22.0,,8.3906,21.7188,58.4844,0.0,0.0,l
1,0.4,6.0,,169.2525,,264.0,25.4237,0.0,11.5095,7.9688,8.3047,6.0,-10.0,552.002,3.3712,74.4711,90.0,,,,37.1591,,,,,79.0,27.0,30.0,207.0,137.0,288.0,2.3086,6.25,5.8125,-2.0391,-34.25,95.125,8.75,15.0625,11.2344,810.791,733.2764,21.5,,13.9844,19.1094,64.75,0.0,313.0,r
2,0.8039999999999999,7.0,,171.9198,,268.0,23.2092,0.0,11.6665,7.3711,9.043,5.0,-9.25,465.7593,3.209,76.7908,81.0,,,,36.6045,,,,,78.0,34.0,30.0,204.0,150.0,272.0,1.3867,6.5625,4.9375,-1.1758,-34.0,90.0,-9.6719,-4.0781,-22.6406,629.3945,695.2515,22.0,,10.875,24.1875,59.4531,0.012066666666666667,724.0,l
3,1.109,7.0,,166.205,,278.0,22.9917,0.0,7.8994,5.9023,5.25,5.0,-11.3438,430.9692,3.1942,77.0083,83.0,,,,35.2878,,,,,67.0,32.0,36.0,210.0,127.0,296.0,2.1406,4.375,4.0,-2.1406,-33.0,95.3281,8.8125,11.2813,26.125,670.105,742.5537,21.5,,11.9063,23.5156,70.125,0.011816666666666666,1022.0,r
4,1.502,8.0,,165.2893,,274.0,24.5179,0.0,9.8989,7.1445,6.8516,5.0,-8.3906,536.1938,3.2993,75.4821,89.0,,,,35.8029,,,,,66.0,34.0,29.0,211.0,150.0,278.0,1.375,5.8125,5.0,-1.6523,-34.0,92.4531,-9.0313,-3.2969,-22.5625,636.5967,676.7578,22.0,,10.1094,23.0469,61.375,0.0237,1422.0,l
5,1.831,8.0,,167.8322,,276.0,22.6891,0.0,7.1589,5.8945,4.0625,5.0,-11.5781,476.9287,3.1812,77.2028,81.0,,,,35.5435,,,,,77.0,32.0,35.0,209.0,127.0,288.0,2.0156,4.0625,3.9375,-2.2656,-33.5,101.1094,10.1094,13.0781,26.125,678.7109,772.2778,21.5,,11.8594,23.4844,73.1094,0.02385,1744.0,r
6,2.2279999999999998,9.0,,168.5393,,270.0,24.1573,0.0,10.3721,7.8516,6.7773,5.0,-8.7656,497.9858,3.2741,75.8427,86.0,,,,36.3333,,,,,80.0,32.0,31.0,207.0,138.0,280.0,1.6445,6.375,5.4375,-1.6367,-34.0,88.1094,-10.0,2.1563,-21.375,676.3306,681.0303,22.0,,9.25,22.2969,61.0938,0.0358,2148.0,l
7,2.546,9.0,,169.4915,,270.0,23.7288,0.0,11.1982,7.5977,8.2266,6.0,-9.2188,408.7524,3.2444,76.2712,84.0,,,,36.3333,,,,,77.0,32.0,36.0,202.0,143.0,278.0,3.0664,5.8125,4.9375,-1.9102,-33.5,100.5469,9.75,16.6875,26.4844,651.5503,821.6553,21.5,,13.6563,20.2813,73.8125,0.03576666666666667,2459.0,r
8,2.94,10.0,,168.5393,,269.0,24.4382,0.0,8.5531,6.2891,5.7969,5.0,-7.9844,462.7075,3.2937,75.5618,87.0,,,,36.4684,,,,,78.0,34.0,30.0,205.0,139.0,282.0,1.7344,5.75,4.9375,-1.7188,-34.25,93.2031,-8.5625,0.4688,-21.25,620.9106,709.9609,22.0,,11.3906,22.4844,64.5469,0.04766666666666666,2860.0,l
9,3.254,10.0,,167.8322,,270.0,24.3697,0.0,11.1978,7.207,8.5703,6.0,-8.875,439.3311,3.2963,75.5245,87.0,,,,36.3333,,,,,73.0,30.0,36.0,204.0,139.0,286.0,2.2969,6.0,5.125,-2.2305,-33.5,102.375,11.6094,11.0156,26.4844,672.2412,748.1689,21.5,,11.5,21.3438,72.4531,0.04756666666666667,3167.0,r
