Unnamed: 0,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
0,0.0799999999999983,5.0,,233.0097,,106.0,58.7549,0.0,13.1699,8.1914,10.3125,14.0,-3.1094,695.3125,7.717,41.165,151.0,,,,92.5472,,,,,72.0,18.0,14.0,74.0,117.0,217.0,0.0078,8.5,7.0625,-2.7148,36.0,66.1406,5.125,-12.5781,-16.4063,752.9907,749.1455,25.5,,-2.2813,2.2656,44.1406,0.4444666666666666,27947.0,r
1,0.5949999999999989,6.0,,134.3785,,581.0,0.0,0.0,13.8087,5.4414,12.6914,1.0,-1.7031,384.2163,1.074,130.1232,-135.0,,,,16.8847,,,,,207.0,12.0,69.0,500.0,21.0,215.0,0.125,11.5625,5.5625,-1.6953,36.75,18.7344,-3.75,1.4219,-5.4844,837.9517,799.9878,25.5,,20.8125,37.1875,13.6719,0.4530499999999999,28462.0,r
2,1.488000000000003,7.0,,233.0097,,185.0,28.0156,0.0,13.7314,6.25,12.2266,16.0,0.1719,550.415,3.5676,71.8447,72.0,,,,53.027,,,,,27.0,14.0,10.0,161.0,68.0,232.0,0.8789,11.0625,7.875,-5.2148,36.75,74.125,-1.125,-5.3594,0.8906,704.4067,906.7993,25.5,,-3.5469,-3.9063,60.7031,0.4679333333333333,29355.0,r
3,2.003,8.0,,225.9887,,169.0,36.2264,0.0,12.6063,7.2617,10.3047,16.0,-8.7031,444.7632,4.284,63.6535,96.0,,,,58.0473,,,,,13.0,10.0,42.0,117.0,96.0,234.0,2.1016,10.125,8.25,-2.9063,36.75,83.4375,7.6719,-3.2031,18.2656,653.3813,845.52,25.5,,-5.8438,-3.8438,54.1406,0.4765166666666666,29870.0,r
4,2.3599999999999994,9.0,,254.2373,,209.0,11.4407,0.0,13.6386,4.3398,12.9297,15.0,-9.9219,882.3242,2.5167,88.5593,27.0,,,,46.9378,,,,,40.0,10.0,38.0,161.0,67.0,196.0,2.6172,13.125,4.625,0.0,,78.4844,-3.6563,5.9688,-14.5781,1704.834,1443.1763,,,-10.7813,0.75,55.1094,0.4582666666666666,29097.0,l
5,2.5340000000000025,9.0,,214.2857,,167.0,40.3571,0.0,13.3694,6.9805,11.4023,16.0,2.4063,1113.4033,4.7066,59.6429,113.0,,,,58.7425,,,,,244.0,16.0,10.0,141.0,142.0,215.0,0.8438,10.0625,8.9375,-2.8086,35.5,85.6875,0.0156,-1.2188,13.8438,1220.8252,787.6587,25.5,,-0.1094,-4.4219,42.9063,0.4853666666666666,30401.0,r
6,2.8320000000000007,10.0,,226.4151,,197.0,25.6604,0.0,17.1931,14.0469,9.9141,16.0,-6.75,1121.7651,3.3807,74.3396,68.0,,,,49.797,,,,,42.0,12.0,28.0,157.0,53.0,220.0,0.4102,7.875,14.0625,-2.8086,,66.5938,6.2188,11.2031,6.9688,-1707.6416,1165.5884,,,-4.2188,-0.8438,56.1406,0.4661333333333333,29569.0,l
7,3.0940000000000047,10.0,,204.7782,,205.0,30.0341,0.0,13.2368,6.3086,11.6367,16.0,-3.2969,722.6563,3.7171,69.9659,88.0,,,,47.8537,,,,,213.0,14.0,26.0,165.0,104.0,246.0,1.207,11.0,8.5,-3.0703,36.75,88.8906,5.5313,-1.9531,24.0938,960.144,808.0444,25.5,,-5.25,-9.4375,62.4063,0.4947,30961.0,r
8,3.362000000000002,11.0,,220.5882,,199.0,26.8382,0.0,14.9157,12.4805,8.168,16.0,-9.9219,1446.7773,3.4673,73.1618,73.0,,,,49.2965,,,,,12.0,20.0,10.0,169.0,103.0,198.0,1.8516,9.75,10.75,-3.582,,70.625,0.0625,12.5469,-4.0156,-1572.5098,1940.6128,,,-7.7969,-9.7188,57.4688,0.4749666666666667,30099.0,l
9,3.680000000000007,11.0,,204.4293,,209.0,28.6689,0.0,15.6296,11.7344,10.3242,8.0,-6.4375,829.1626,3.6172,71.2095,84.0,,,,46.9378,,,,,213.0,18.0,20.0,171.0,115.0,231.0,0.7695,8.8125,8.8125,-2.8555,36.75,79.0938,12.3594,2.4063,28.1563,835.5713,641.4795,25.5,,-1.1094,13.7344,61.5781,0.5044666666666667,31547.0,r
