,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
0,0.15000000000000568,8.0,,191.3876,,179.0,42.8115,0.0,9.8846,4.3359,8.8828,12.0,-16.9844,804.3823,5.0056,57.0973,134.0,,,,54.8045,,,,,205.0,6.0,44.0,129.0,93.0,291.0,0.4258,9.25,4.3125,-1.793,104.5,91.3125,-0.2813,-3.8906,-2.8281,877.7466,1017.4561,26.5,,0.9375,5.1719,69.7344,1.663,99780.0,l
1,0.5,7.0,1.1747,190.779,1.2288,179.0,42.9936,71.0,11.2925,5.2461,10.0,11.0,-26.0625,722.3511,5.0279,56.9157,135.0,8.2785,21.6758,23.2954,54.8045,2.3921,0.3753,75.6321,42.8219,204.0,10.0,58.0,111.0,92.0,293.0,1.5039,7.75,5.3125,-2.7383,105.5,98.5469,3.1563,0.8906,4.8438,756.3477,1591.6138,26.0,0.6144,1.875,7.6875,74.4688,1.2421166666666668,100633.0,r
2,0.7770000000000152,9.0,,182.9268,,196.0,40.2439,0.0,14.3891,8.0742,11.9102,16.0,-21.75,645.5688,4.6939,59.7561,132.0,,,,50.051,,,,,184.0,9.0,62.0,125.0,108.0,280.0,1.168,7.6875,6.5625,-3.4492,104.5,101.4375,0.3281,-7.3125,-7.4844,1057.1289,1015.2588,26.5,,4.5781,-6.5,73.0313,1.67345,100407.0,l
3,1.1290000000000049,8.0,1.4993,186.3354,1.2751,214.0,33.5404,110.0,11.7288,5.6016,10.3047,16.0,-25.3906,669.7998,4.0187,66.4596,108.0,5.1277,15.6876,18.3979,45.8411,3.0739,0.5438,74.4503,42.0676,168.0,8.0,65.0,141.0,121.0,265.0,1.0625,9.375,3.8125,-2.9688,105.5,95.0938,0.7813,-11.5781,-5.25,857.2998,1329.895,26.0,0.6376,10.4688,-5.4844,80.625,1.2526000000000002,101262.0,r
4,1.433000000000007,10.0,,184.3318,,209.0,35.6923,0.0,14.4569,9.7227,10.6992,16.0,-23.8906,688.1714,4.2297,64.2089,116.0,,,,46.9378,,,,,163.0,12.0,62.0,135.0,111.0,285.0,0.6211,8.5,6.5625,-3.957,103.75,100.25,1.2188,0.9844,-7.0625,867.3096,1166.9312,26.5,,8.4688,-3.9063,75.25,1.6843833333333333,101063.0,l
5,1.7730000000000103,9.0,1.7929,186.0465,1.3215,214.0,33.5404,148.0,12.9657,4.1914,12.2695,16.0,-31.5313,782.8369,4.028,66.3566,108.0,4.9487,14.7307,18.3705,45.8411,3.6951,0.652,80.1813,45.7252,174.0,20.0,57.0,137.0,94.0,286.0,2.3398,10.0,3.8125,-3.9336,104.5,92.0781,0.75,-11.1875,-1.8125,910.4614,1250.6714,26.0,0.6608,7.2656,-4.4688,76.7188,1.2633333333333334,101906.0,r
6,2.084000000000003,11.0,,189.8734,,205.0,35.1266,0.0,12.8128,6.6094,10.9766,16.0,-26.0469,781.7993,4.1659,64.8734,111.0,,,,47.8537,,,,,187.0,10.0,64.0,131.0,100.0,276.0,1.2852,8.4375,5.0625,-3.8477,103.75,99.9375,-0.4063,0.1719,-11.0156,927.063,1098.8159,26.5,,6.2344,-4.6875,77.7813,1.6952333333333334,101714.0,l
7,2.4180000000000064,10.0,1.7891,187.7934,1.364,211.0,33.8558,176.0,12.3801,4.4141,11.5664,16.0,-32.625,789.3066,4.0569,66.0407,108.0,4.7952,15.1328,18.8111,46.4929,3.6851,0.6548,80.8762,46.1687,184.0,18.0,60.0,133.0,89.0,284.0,1.8672,9.375,3.8125,-3.6406,104.75,92.6563,0.1719,-8.625,-2.4219,887.8174,1350.4028,26.0,0.682,7.5781,-4.4844,79.2656,1.2740833333333335,102551.0,r
8,2.716000000000008,12.0,,186.6252,,197.0,38.6293,0.0,13.5275,6.4141,11.9102,16.0,-27.4531,702.3926,4.5279,61.2753,124.0,,,,49.797,,,,,189.0,8.0,68.0,121.0,103.0,279.0,2.3984,8.875,5.8125,-3.957,103.75,100.8125,0.0938,-4.75,-9.8594,928.9551,929.6875,26.5,,6.1875,-6.125,73.5938,1.7057666666666667,102346.0,l
9,3.057000000000002,11.0,1.6809,187.2075,1.3988,211.0,34.0625,200.0,13.7053,3.3828,13.2813,16.0,-31.5156,735.4126,4.0758,65.8346,109.0,4.7631,15.4673,18.756,46.4929,3.4554,0.6103,78.6245,44.7316,180.0,18.0,60.0,133.0,93.0,284.0,1.6953,10.875,3.1875,-3.7852,104.75,97.4063,0.8594,-8.0469,-8.5313,874.939,1346.2524,26.0,0.6994,7.6094,-4.2813,79.6719,1.2847333333333335,103190.0,r
10,3.359000000000009,13.0,,186.9159,,199.0,38.0062,0.0,12.4905,6.0391,10.9336,16.0,-29.3906,761.3525,4.4523,61.9938,122.0,,,,49.2965,,,,,179.0,21.0,51.0,127.0,110.0,280.0,1.3359,9.5625,5.375,-4.1094,103.5,99.9219,-2.125,-3.8125,-11.4531,908.9966,1009.9487,26.5,,6.9219,-3.8594,74.7031,1.7164833333333334,102989.0,l
11,3.6980000000000075,12.0,1.9977,186.6252,1.5997,208.0,35.2025,239.0,12.9148,2.9297,12.5781,16.0,-28.2344,701.8433,4.1827,64.6967,113.0,4.4773,14.7346,18.9966,47.1635,4.1297,0.7121,85.0446,48.829,185.0,17.0,58.0,133.0,86.0,289.0,2.418,10.25,3.1875,-3.6914,104.75,96.3906,-1.0781,-10.4375,-10.4844,887.3291,1349.9146,26.0,0.7999,9.8438,-6.1094,80.9219,1.2954166666666669,103831.0,r
12,4.001000000000005,14.0,,183.7672,,201.0,38.3436,0.0,14.0849,5.7813,12.8438,16.0,-29.6406,804.9927,4.4975,61.562,125.0,,,,48.806,,,,,173.0,20.0,56.0,125.0,117.0,277.0,1.7813,9.875,4.875,-4.207,104.0,101.6875,-2.5625,-2.7031,-10.7813,976.8066,1047.6074,26.5,,6.75,-4.5938,73.4688,1.7271833333333333,103631.0,l
13,4.341000000000008,13.0,2.3068,184.3318,1.6345,206.0,36.6154,278.0,13.6653,2.332,13.4648,16.0,-27.9688,797.3022,4.3204,63.2873,119.0,4.858,13.8899,19.003,47.6214,4.7993,0.7945,90.6524,52.408,179.0,18.0,55.0,133.0,123.0,260.0,2.0117,10.625,2.75,-3.5273,105.5,101.1563,-2.6406,-9.4844,-17.7188,945.1904,1326.416,26.0,0.8172,6.3438,-6.8906,78.5,1.3061333333333336,104474.0,r
14,4.653999999999996,15.0,2.7026,186.6252,1.7395,203.0,36.7601,130.0,12.5857,4.4688,11.7656,16.0,-30.9688,925.6592,4.335,63.1415,118.0,4.49,12.9686,19.5313,48.3251,5.6747,0.9475,99.4476,58.0212,175.0,20.0,51.0,132.0,109.0,281.0,1.3086,9.625,4.3125,-3.9805,104.0,104.5313,-3.625,-2.0938,-11.125,1016.7236,1027.9541,26.5,0.8697,6.8281,-5.2656,76.6563,1.7380666666666666,104284.0,l
15,4.992000000000019,14.0,2.6082,185.1852,1.677,208.0,35.8025,317.0,12.4626,1.9531,12.3086,16.0,-31.8281,844.9097,4.2308,64.1975,116.0,4.5007,12.6672,18.8677,47.1635,5.4721,0.9172,96.5662,56.1823,174.0,18.0,55.0,135.0,123.0,263.0,1.1563,9.875,3.0,-3.7422,105.5,103.8438,-1.5,-9.3281,-15.4844,930.9692,1258.4839,26.0,0.8385,7.8281,-5.0625,78.5469,1.3169833333333336,105125.0,r
16,5.297000000000011,16.0,2.677,184.0491,1.7285,207.0,36.5031,159.0,12.0659,4.5,11.1953,16.0,-30.0781,964.9048,4.2995,63.4969,119.0,4.595,12.5545,18.8722,47.3913,5.6251,0.9245,97.6258,56.8585,171.0,20.0,48.0,139.0,103.0,287.0,2.3203,9.4375,4.6875,-3.7344,105.0,106.4688,-4.5781,-2.0781,-11.5625,1090.8203,1104.9805,26.5,0.8642,7.9688,-4.8906,80.125,1.7487833333333334,104927.0,l
17,5.640000000000015,15.0,2.5773,185.4714,1.6615,211.0,34.6749,304.0,12.3496,3.6406,11.8008,16.0,-30.5156,740.9058,4.1327,65.2241,112.0,4.2357,12.4276,18.5956,46.4929,5.4082,0.9259,95.9018,55.7582,174.0,18.0,58.0,135.0,111.0,272.0,2.2617,9.9375,3.4375,-3.6953,105.75,101.0938,-3.0156,-9.5938,-17.1719,874.2065,1325.0732,26.0,0.8308,11.0625,-5.6094,81.6875,1.3277833333333335,105773.0,r
18,5.948999999999998,17.0,2.666,187.5,1.7175,201.0,37.1875,188.0,13.6641,5.4023,12.5508,16.0,-32.9844,878.479,4.3682,62.8125,119.0,4.6243,13.3491,19.8363,48.806,5.5882,0.9311,99.0906,57.7934,180.0,20.0,55.0,126.0,103.0,284.0,0.9102,9.75,4.75,-3.8594,105.5,101.7656,-4.3281,-3.1094,-10.0469,992.0654,1045.0439,26.5,0.8588,5.3594,-4.625,74.2813,1.75965,105579.0,l
19,6.28700000000002,16.0,2.558,186.0465,1.65,211.0,34.472,293.0,11.6851,2.2383,11.4688,16.0,-30.5938,788.5742,4.1137,65.4264,111.0,4.1898,12.4959,18.6482,46.4929,5.3647,0.9251,95.7049,55.6325,172.0,18.0,58.0,135.0,123.0,262.0,1.4922,9.625,2.9375,-3.4844,105.75,107.2969,-1.8281,-11.5156,-21.75,874.4507,1325.8057,26.0,0.825,11.3281,-4.75,81.8906,1.338566666666667,106420.0,r
20,6.588999999999999,18.0,2.666,183.2061,1.7175,207.0,36.6972,212.0,13.7695,4.3438,13.0664,16.0,-30.5156,911.3159,4.3285,63.2061,120.0,4.702,12.5857,18.7998,47.3913,5.6003,0.9141,97.2147,56.5961,169.0,20.0,56.0,131.0,137.0,255.0,2.5664,9.0,4.125,-3.9922,105.5,106.1875,-0.5156,-1.4844,-7.8594,1021.7896,1101.8677,26.5,0.8588,7.125,-6.5781,78.2344,1.7703166666666665,106219.0,l
21,6.932000000000016,17.0,2.5541,179.91,1.6538,212.0,36.3363,292.0,12.7732,4.793,11.8398,16.0,-31.3125,738.4644,4.2925,63.5682,121.0,4.9635,12.3462,18.0096,46.2736,5.3578,0.8589,93.4707,54.2066,161.0,17.0,62.0,133.0,127.0,268.0,1.7344,9.5,3.9375,-3.5039,106.25,113.0625,-7.0625,-6.9688,-28.8906,876.6479,1392.8833,26.0,0.8269,11.625,-6.6563,80.4688,1.349316666666667,107065.0,r
22,7.244,19.0,2.644,184.6154,1.7102,201.0,38.1538,222.0,13.4035,5.4922,12.2266,16.0,-34.2813,857.605,4.4677,61.8462,124.0,5.0405,13.4061,19.5913,48.806,5.5389,0.8915,97.7073,56.9105,174.0,19.0,58.0,124.0,123.0,270.0,1.6172,9.9375,4.8125,-3.8203,105.5,103.4688,-6.2656,0.2344,-13.5313,990.8447,1051.8188,26.5,0.8551,5.5781,-3.9063,70.6875,1.7812333333333332,106874.0,l
