Unnamed: 0,time_sec,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,time_min,timestamp,foot
0,0.0399999999999991,11.0,,169.7313,,298.0,15.5807,0.0,11.8221,4.5625,10.9063,14.0,-5.7969,380.7373,2.745,84.2999,55.0,,,,32.9195,,,,,140.0,6.0,22.0,270.0,48.0,282.0,0.0742,5.1875,0.625,0.0,54.0,65.5781,0.0625,15.7656,14.1719,590.0269,720.459,26.5,,3.1875,2.2969,64.0781,0.3853499999999999,25797.0,r
1,0.3500000000000014,13.0,1.1711,163.4877,0.9995,322.0,12.2616,98.0,10.1184,4.5781,9.0234,16.0,-11.2344,306.9458,2.559,87.7384,45.0,1.1386,14.0133,17.2547,30.4658,2.1276,0.5089,54.2418,21.6694,80.0,2.0,87.0,233.0,82.0,284.0,0.1406,7.125,1.8125,-0.8164,53.75,77.5781,-1.4688,-3.6875,-1.5156,481.8115,687.7441,24.0,0.4998,-6.4688,-2.0938,67.5469,0.3907333333333333,27005.0,l
2,0.7469999999999963,12.0,,162.6016,,312.0,15.4472,0.0,12.3095,4.7422,11.3594,16.0,-10.5469,415.6494,2.7308,84.5528,57.0,,,,31.4423,,,,,75.0,2.0,60.0,250.0,105.0,276.0,0.125,7.8125,1.6875,-2.4609,54.75,73.0,-0.2344,6.4063,23.6875,685.3638,676.8799,26.5,,6.5938,-5.3438,67.5781,0.3971333333333333,26504.0,r
3,1.0839999999999996,14.0,1.1513,164.3836,0.9995,288.0,21.0959,112.0,12.47,3.293,12.0273,14.0,-20.375,446.3501,3.0694,78.9041,77.0,3.3303,14.8722,17.0598,34.0625,2.0855,0.4531,55.9963,22.5012,68.0,20.0,59.0,209.0,143.0,269.0,1.6406,9.0625,2.4375,-0.8164,53.75,92.0156,-6.5625,1.5469,-9.625,595.8862,659.3018,24.0,0.4998,2.5313,1.625,50.2813,0.4029666666666666,27739.0,l
4,1.484999999999996,13.0,,165.5172,,323.0,10.7735,0.0,12.4667,8.1094,9.4688,12.0,-13.9531,433.5327,2.4892,89.1034,39.0,,,,30.3715,,,,,73.0,6.0,73.0,244.0,106.0,266.0,0.2969,7.0625,4.1875,-2.5469,54.75,84.6406,3.0313,8.3438,16.375,614.624,525.0244,26.5,,14.375,5.3125,63.5156,0.4094333333333332,27242.0,r
5,1.814,15.0,1.3294,164.3836,1.1249,312.0,14.5205,123.0,13.6257,4.6797,12.7969,16.0,-5.6875,382.6294,2.6795,85.4795,53.0,1.4033,13.546,17.1526,31.4423,2.4219,0.5684,58.181,23.5369,62.0,2.0,34.0,276.0,70.0,324.0,0.1445,9.5,1.9375,-0.7227,53.25,76.4688,-1.6719,0.8281,-10.7969,551.8188,575.0732,24.0,0.5624,-8.6094,-0.5469,65.7969,0.4151333333333333,28469.0,l
6,2.2099999999999973,14.0,,162.1622,,299.0,19.1892,0.0,9.8188,7.3867,6.4688,8.0,-12.6875,193.6035,2.9498,80.8108,71.0,,,,32.8094,,,,,50.0,45.0,52.0,202.0,133.0,286.0,0.0469,4.25,3.8125,-2.9531,54.75,74.9063,1.2969,9.1875,18.2031,568.6035,521.7285,26.5,,13.7813,14.0156,52.3281,0.4215166666666666,27967.0,r
7,2.5440000000000005,16.0,1.5009,169.0141,1.0952,328.0,7.6056,133.0,6.0195,3.6875,4.7578,12.0,-11.9844,339.8438,2.3293,92.3944,27.0,0.3741,13.1604,19.7211,29.9085,2.7524,0.7249,62.6642,25.6624,86.0,2.0,62.0,264.0,42.0,312.0,0.0625,2.4375,0.5625,-1.3672,53.25,90.0469,-2.0156,-3.7031,-17.2188,480.5908,680.9082,24.0,0.5476,-5.0938,6.0156,81.1719,0.4272999999999999,29199.0,l
8,2.949999999999996,15.0,,171.184,,288.0,17.7143,0.0,10.2379,7.3594,7.1172,9.0,-9.9063,260.3149,2.8681,82.1683,62.0,,,,34.0625,,,,,91.0,18.0,67.0,203.0,145.0,244.0,0.3281,6.5625,5.625,-2.6992,54.5,71.9688,1.2656,10.0313,15.3594,552.6733,495.7275,26.5,,16.0469,11.1563,53.1094,0.4338499999999999,28707.0,r
9,3.253999999999998,17.0,1.3855,163.4877,1.0589,301.0,17.9837,120.0,9.5578,6.1406,7.3242,11.0,-10.9063,229.3091,2.8771,82.0163,66.0,2.3109,13.4849,16.795,32.5914,2.5245,0.5636,59.5968,24.2082,62.0,6.0,89.0,206.0,115.0,290.0,0.2852,5.5625,1.9375,-1.207,53.25,80.9063,-1.7813,-6.7969,-16.9375,562.7441,539.856,24.0,0.5295,-0.0781,7.7656,60.3281,0.4391333333333332,29909.0,l
