YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,183.4250458562607,8.921127230281808,13.0,r,8.740000000000006,15.0,237.0,7.0,211.0,165.2893,0.7170251792562965,167.35813953488332,0.0,0.0,0.0,r,0.1834250458562607,8.921127230281808
l,200.1000500250125,9.287977321994331,14.0,l,9.353000000000009,17.0,231.0,5.0,214.0,165.7459,0.7003501750875429,171.34285714285733,0.0,0.0,0.0,l,0.2001000500250125,9.287977321994331
r,200.1000500250107,9.638152409538105,14.0,r,9.466000000000005,16.0,231.0,7.0,219.0,164.1587,0.7170251792562929,167.35813953488417,0.0,0.0,86.0,r,0.2001000500250107,9.638152409538105
l,216.775054193766,9.988327497081874,15.0,l,10.077000000000004,18.0,234.0,5.0,212.0,163.7108,0.7337001834250465,163.5545454545453,0.0,0.0,86.0,l,0.216775054193766,9.988327497081874
r,200.1000500250125,10.355177588794398,15.0,r,10.197,17.0,235.0,7.0,166.0,164.8352,0.7337001834250465,163.5545454545453,0.0,0.0,86.0,r,0.2001000500250125,10.355177588794398
l,216.77505419376251,10.72202768050692,16.0,l,10.810000000000002,19.0,235.0,5.0,191.0,163.4877,0.7337001834250447,163.5545454545457,168.0,0.0,86.0,l,0.2167750541937625,10.72202768050692
r,200.1000500250125,11.088877772219444,16.0,r,10.925,18.0,231.0,7.0,173.0,166.6667,0.7337001834250447,163.5545454545457,168.0,0.0,86.0,r,0.2001000500250125,11.088877772219444
l,216.7750541937643,11.455727863931966,17.0,l,11.544000000000004,20.0,234.0,5.0,179.0,167.8322,0.7337001834250465,163.5545454545453,168.0,0.0,86.0,l,0.2167750541937643,11.455727863931966
r,200.1000500250107,11.822577955644489,17.0,r,11.645,19.0,239.0,6.0,171.0,163.0435,0.7170251792562947,167.35813953488375,170.0,0.0,86.0,r,0.2001000500250107,11.822577955644489
l,200.1000500250125,12.189428047357012,18.0,l,12.259000000000007,21.0,228.0,5.0,184.0,164.8352,0.7337001834250483,163.5545454545449,170.0,0.0,86.0,l,0.2001000500250125,12.189428047357012
r,216.7750541937643,12.539603134900783,18.0,r,12.381000000000004,20.0,227.0,6.0,158.0,167.5978,0.7337001834250465,163.5545454545453,168.0,0.0,86.0,r,0.2167750541937643,12.539603134900783
l,183.42504585625892,12.92312823078206,19.0,l,12.987000000000002,22.0,238.0,5.0,207.0,165.9751,0.7170251792562912,167.35813953488457,168.0,0.0,86.0,l,0.1834250458562589,12.92312823078206
r,200.1000500250143,13.27330331832583,19.0,r,13.097000000000005,21.0,234.0,7.0,179.0,166.205,0.7337001834250465,163.5545454545453,168.0,0.0,86.0,r,0.2001000500250143,13.27330331832583
l,200.1000500250143,13.640153410038351,20.0,l,13.710000000000008,23.0,234.0,5.0,195.0,167.364,0.7170251792562965,167.35813953488332,168.0,0.0,86.0,l,0.2001000500250143,13.640153410038351
r,200.1000500250107,14.007003501750876,20.0,r,13.819000000000006,22.0,232.0,7.0,195.0,163.9344,0.7003501750875429,171.34285714285733,168.0,0.0,86.0,r,0.2001000500250107,14.007003501750876
l,200.1000500250125,14.357178589294648,21.0,l,14.427000000000008,24.0,236.0,5.0,172.0,167.1309,0.7170251792562965,167.35813953488332,168.0,0.0,86.0,l,0.2001000500250125,14.357178589294648
r,200.1000500250125,14.70735367683842,21.0,r,14.551000000000004,23.0,232.0,7.0,189.0,165.7459,0.7170251792562947,167.35813953488375,166.0,0.0,86.0,r,0.2001000500250125,14.70735367683842
l,200.1000500250107,15.074203768550944,22.0,l,15.14500000000001,25.0,234.0,4.0,152.0,165.9751,0.733700183425043,163.55454545454612,166.0,0.0,86.0,l,0.2001000500250107,15.074203768550944
r,216.7750541937643,15.424378856094714,22.0,r,15.275000000000002,24.0,229.0,7.0,191.0,169.9717,0.7337001834250447,163.5545454545457,166.0,0.0,86.0,r,0.2167750541937643,15.424378856094714
l,200.1000500250143,15.807903951975987,23.0,l,15.86800000000001,26.0,226.0,5.0,132.0,164.8352,0.7170251792562965,167.35813953488332,166.0,0.0,86.0,l,0.2001000500250143,15.807903951975987
r,200.1000500250143,16.15807903951976,23.0,r,15.981000000000003,25.0,229.0,8.0,192.0,163.9344,0.7170251792562965,167.35813953488332,166.0,0.0,86.0,r,0.2001000500250143,16.15807903951976
l,200.1000500250107,16.524929131232284,24.0,l,16.59600000000001,27.0,232.0,4.0,141.0,166.8985,0.7337001834250465,163.5545454545453,164.0,0.0,86.0,l,0.2001000500250107,16.524929131232284
