YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
l,200.1000500250125,0.400200100050025,1,l,0.4000000000000003,15.0,409.0,1.0,130.0,163.4877,0.6503251625812905,184.523076923077,,,
r,250.1250625312656,0.6836751709187927,1,r,0.8140000000000001,22.0,326.0,7.0,0.0,158.3113,0.7337001834250456,163.55454545454552,0.0,0.0,101.0
l,250.12506253126588,1.0505252626313155,2,l,1.1340000000000003,16.0,447.0,1.0,125.0,155.8442,0.7670501917625485,156.44347826086943,0.0,0.0,101.0
r,250.12506253126588,1.4173753543438383,2,r,1.5719999999999992,23.0,426.0,5.0,0.0,155.4404,0.7503751875937972,159.91999999999996,0.0,0.0,101.0
l,266.8000667000161,1.817575454393864,3,l,1.904,17.0,404.0,1.0,127.0,159.5745,0.7337001834250456,163.55454545454552,0.0,0.0,101.0
r,266.8000667000165,2.1677505419376355,3,r,2.344000000000001,24.0,431.0,5.0,0.0,162.6016,0.7670501917625483,156.44347826086948,0.0,0.0,101.0
l,266.8000667000165,2.5512756378189096,4,l,2.656,18.0,424.0,1.0,128.0,157.8947,0.750375187593797,159.92,0.0,0.0,101.0
r,266.8000667000165,2.934800733700184,4,r,3.0820000000000007,25.0,467.0,2.0,0.0,155.2393,0.7337001834250452,163.5545454545456,0.0,0.0,101.0
l,283.4750708687674,3.3016508254127066,5,l,3.4159999999999995,19.0,424.0,1.0,126.0,159.5745,0.7503751875937965,159.92000000000007,0.0,0.0,101.0
r,283.4750708687679,3.668500917125229,5,r,3.855,26.0,439.0,4.0,0.0,157.4803,0.7837251959312992,153.1148936170212,0.0,0.0,101.0
l,283.4750708687679,4.052026013006503,6,l,4.168,20.0,428.0,1.0,124.0,155.2393,0.7837251959312992,153.1148936170212,0.0,0.0,101.0
r,266.800066700017,4.452226113056528,6,r,4.617000000000001,27.0,454.0,3.0,0.0,157.4803,0.7503751875937974,159.9199999999999,0.0,0.0,101.0
l,266.800066700017,4.835751208937802,7,l,4.941,21.0,437.0,1.0,27.0,157.0681,0.7503751875937965,159.92000000000007,0.0,0.0,102.0
r,283.475070868767,5.2026013006503256,7,r,5.378999999999998,28.0,434.0,3.0,337.0,158.7302,0.7670501917625474,156.44347826086968,0.0,0.0,102.0
l,283.4750708687679,5.586126396531599,8,l,5.705000000000001,22.0,435.0,1.0,35.0,156.658,0.7670501917625483,156.44347826086948,0.0,0.0,103.0
r,283.4750708687679,5.969651492412873,8,r,6.134999999999998,29.0,451.0,2.0,321.0,156.8627,0.7503751875937974,159.9199999999999,0.0,0.0,103.0
l,283.4750708687679,6.353176588294147,9,l,6.471000000000001,23.0,449.0,1.0,37.0,159.1512,0.7503751875937974,159.9199999999999,0.0,0.0,103.0
r,283.4750708687679,6.72002668000667,9,r,6.899999999999999,30.0,445.0,1.0,322.0,158.7302,0.7670501917625474,156.44347826086968,0.0,0.0,104.0
l,283.4750708687661,7.1035517758879445,10,l,7.225,24.0,434.0,1.0,39.0,158.1028,0.7670501917625474,156.44347826086968,0.0,0.0,104.0
r,283.4750708687679,7.487076871769218,10,r,7.655999999999999,31.0,437.0,4.0,306.0,157.8947,0.7503751875937974,159.9199999999999,0.0,0.0,104.0
l,283.4750708687679,7.870601967650492,11,l,7.984000000000001,25.0,444.0,1.0,41.0,157.4803,0.7670501917625483,156.44347826086948,0.0,0.0,104.0
r,300.1500750375179,8.237452059363015,11,r,8.415999999999997,32.0,442.0,3.0,276.0,157.4803,0.7670501917625483,156.44347826086948,0.0,0.0,104.0
l,283.4750708687679,8.63765215941304,12,l,8.745999999999999,26.0,436.0,1.0,41.0,158.3113,0.7670501917625483,156.44347826086948,0.0,0.0,104.0
r,283.4750708687679,9.004502251125563,12,r,9.177999999999995,33.0,433.0,4.0,276.0,159.3625,0.7670501917625483,156.44347826086948,0.0,0.0,104.0
l,266.8000667000161,9.404702351175589,13,l,9.504,27.0,438.0,1.0,40.0,157.8947,0.7503751875937947,159.92000000000044,0.0,0.0,104.0
r,283.4750708687661,9.771552442888112,13,r,9.930999999999996,34.0,437.0,3.0,281.0,158.7302,0.7503751875937965,159.92000000000007,156.0,0.0,104.0
l,266.8000667000161,10.155077538769383,14,l,10.264,28.0,432.0,1.0,39.0,158.7302,0.7503751875937983,159.9199999999997,156.0,0.0,104.0
r,283.4750708687679,10.521927630481908,14,r,10.686999999999998,35.0,434.0,3.0,252.0,159.5745,0.7503751875937965,159.92000000000007,158.0,0.0,104.0
l,283.4750708687679,10.905452726363182,15,l,11.02,29.0,431.0,1.0,33.0,160.8579,0.7670501917625483,156.44347826086948,158.0,0.0,104.0
r,283.4750708687679,11.272302818075705,15,r,11.438999999999997,36.0,429.0,5.0,228.0,159.5745,0.7503751875937947,159.92000000000044,158.0,0.0,104.0
l,266.8000667000161,11.67250291812573,16,l,11.766000000000002,30.0,439.0,1.0,24.0,158.7302,0.7503751875937965,159.92000000000007,156.0,0.0,104.0
r,283.4750708687696,12.0226780056695,16,r,12.191,37.0,419.0,4.0,198.0,158.5205,0.7670501917625501,156.4434782608691,156.0,0.0,104.0
l,266.80006670001785,12.422878105719526,17,l,12.522000000000002,31.0,428.0,1.0,25.0,158.9404,0.7503751875937983,159.9199999999997,156.0,0.0,104.0
r,266.8000667000161,12.78972819743205,17,r,12.947999999999997,38.0,439.0,3.0,203.0,161.7251,0.7503751875937965,159.92000000000007,156.0,0.0,104.0
l,266.8000667000161,13.173253293313325,18,l,13.277,32.0,438.0,1.0,24.0,159.1512,0.7503751875937947,159.92000000000044,156.0,0.0,104.0
r,283.4750708687679,13.540103385025846,18,r,13.69,39.0,425.0,4.0,215.0,158.7302,0.7503751875937983,159.9199999999997,156.0,0.0,104.0
l,266.8000667000161,13.92362848090712,19,l,14.031000000000002,33.0,426.0,1.0,23.0,161.7251,0.7503751875937983,159.9199999999997,156.0,0.0,104.0
r,283.4750708687661,14.290478572619644,19,r,14.446000000000003,40.0,419.0,5.0,245.0,161.5074,0.7670501917625483,156.44347826086948,156.0,0.0,104.0
l,266.8000667000161,14.674003668500918,20,l,14.773000000000003,34.0,420.0,1.0,23.0,159.5745,0.7670501917625483,156.44347826086948,156.0,0.0,104.0
r,266.8000667000161,15.057528764382193,20,r,15.189,41.0,436.0,5.0,274.0,161.7251,0.733700183425043,163.55454545454612,156.0,0.0,104.0
l,266.8000667000161,15.441053860263466,21,l,15.525000000000002,35.0,432.0,1.0,22.0,163.9344,0.7170251792562929,167.35813953488417,156.0,0.0,104.0
r,283.4750708687696,15.791228947807236,21,r,15.930999999999996,42.0,439.0,2.0,223.0,155.8442,0.7337001834250483,163.5545454545449,156.0,0.0,104.0
l,283.4750708687679,16.15807903951976,22,l,16.257,36.0,449.0,1.0,22.0,157.8947,0.7670501917625501,156.4434782608691,156.0,0.0,104.0
r,283.4750708687679,16.524929131232284,22,r,16.701,43.0,431.0,2.0,262.0,161.5074,0.7837251959312965,153.11489361702175,158.0,0.0,104.0
l,283.4750708687679,16.92512923128231,23,l,,,,,,,0.7670501917625465,156.44347826086985,158.0,0.0,104.0
r,283.4750708687679,17.30865432716358,23,r,17.444000000000003,44.0,453.0,1.0,258.0,160.8579,0.7337001834250465,163.5545454545453,158.0,0.0,104.0
l,283.4750708687679,17.692179423044855,24,l,17.789000000000005,38.0,433.0,1.0,0.0,161.2903,0.7337001834250501,163.55454545454452,158.0,0.0,104.0
r,300.1500750375214,18.042354510588627,24,r,18.19,45.0,442.0,1.0,255.0,158.7302,0.7503751875937965,159.92000000000007,158.0,0.0,104.0
l,283.4750708687643,18.425879606469906,25,l,18.533000000000005,39.0,443.0,1.0,0.0,161.2903,0.750375187593793,159.92000000000084,158.0,0.0,104.0
r,283.4750708687679,18.792729698182423,25,r,18.946,46.0,421.0,3.0,261.0,165.9751,0.7503751875938001,159.91999999999933,158.0,0.0,104.0
l,300.1500750375179,19.1762547940637,26,l,19.277000000000008,40.0,438.0,1.0,0.0,157.6873,0.7670501917625501,156.4434782608691,158.0,0.0,104.0
r,300.1500750375179,19.543104885776224,26,r,19.669000000000004,47.0,426.0,1.0,261.0,160.8579,0.7670501917625465,156.44347826086985,158.0,0.0,105.0
l,283.4750708687643,19.94330498582625,27,l,,,,,,,0.7170251792562929,167.35813953488417,158.0,0.0,105.0
r,283.4750708687643,20.31015507753877,27,r,20.415,48.0,431.0,5.0,231.0,158.7302,0.7170251792562929,167.35813953488417,158.0,0.0,105.0
l,300.1500750375179,20.66033016508254,28,l,20.74900000000001,42.0,436.0,1.0,0.0,157.6873,0.7503751875937894,159.9200000000016,158.0,0.0,105.0
r,283.4750708687679,21.027180256795063,28,r,21.171,49.0,443.0,3.0,203.0,159.787,0.7503751875938001,159.91999999999933,158.0,0.0,105.0
l,266.800066700025,21.41070535267633,29,l,21.51000000000001,43.0,434.0,1.0,0.0,160.4278,0.7503751875938001,159.91999999999933,158.0,0.0,105.0
r,266.80006670001785,21.777555444388863,29,r,21.922,50.0,434.0,3.0,211.0,161.7251,0.7503751875937965,159.92000000000007,158.0,0.0,105.0
l,266.8000667000214,22.16108054027013,30,l,22.25800000000001,44.0,436.0,1.0,0.0,160.0,0.7503751875938001,159.91999999999933,158.0,0.0,105.0
r,283.4750708687679,22.52793063198266,30,r,22.66399999999999,51.0,419.0,2.0,174.0,161.2903,0.7670501917625501,156.4434782608691,158.0,0.0,105.0
l,266.80006670001785,22.91145572786393,31,l,23.00800000000001,45.0,428.0,1.0,0.0,161.2903,0.7337001834250465,163.5545454545453,158.0,0.0,105.0
r,266.8000667000143,23.29498082374521,31,r,23.408,52.0,419.0,5.0,168.0,153.8462,0.733700183425043,163.55454545454612,158.0,0.0,105.0
l,300.1500750375143,23.645155911288978,32,l,23.75200000000001,46.0,433.0,1.0,18.0,159.1512,0.7670501917625501,156.4434782608691,158.0,0.0,106.0
r,283.4750708687679,24.028681007170253,32,r,24.187999999999995,53.0,441.0,2.0,161.0,161.0738,0.7337001834250465,163.5545454545453,158.0,0.0,106.0
l,250.12506253126432,24.412206103051528,33,l,,,,,,,0.733700183425043,163.55454545454612,158.0,0.0,106.0
r,283.4750708687679,24.7623811905953,33,r,,,,,,,0.7670501917625501,156.4434782608691,160.0,0.0,107.0
l,283.4750708687679,25.14590628647657,34,l,25.26400000000001,48.0,429.0,1.0,19.0,158.3113,0.7503751875938001,159.91999999999933,160.0,0.0,107.0
r,283.4750708687643,25.52943138235785,34,r,25.687,55.0,447.0,2.0,165.0,158.1028,0.7503751875937894,159.9200000000016,160.0,0.0,109.0
l,283.4750708687679,25.89628147407037,35,l,26.022000000000013,49.0,440.0,1.0,19.0,159.787,0.7670501917625501,156.4434782608691,160.0,0.0,109.0
r,266.8000667000214,26.27980656995164,35,r,26.446,56.0,435.0,2.0,179.0,165.7459,0.7337001834250501,163.55454545454452,160.0,0.0,109.0
l,266.8000667000108,26.66333166583292,36,l,26.77300000000001,50.0,432.0,1.0,16.0,161.2903,0.7503751875938001,159.91999999999933,160.0,0.0,110.0
r,300.1500750375179,27.01350675337669,36,r,27.17,57.0,442.0,2.0,189.0,161.2903,0.7503751875937965,159.92000000000007,160.0,0.0,110.0
l,283.4750708687643,27.41370685342672,37,l,27.51700000000001,51.0,432.0,1.0,16.0,161.2903,0.7337001834250394,163.5545454545469,160.0,0.0,110.0
r,300.1500750375179,27.763881940970485,37,r,27.914,58.0,433.0,4.0,200.0,158.9404,0.7503751875937965,159.92000000000007,160.0,0.0,111.0
l,283.4750708687679,28.14740703685176,38,l,28.261000000000006,52.0,444.0,1.0,16.0,160.8579,0.7503751875938001,159.91999999999933,160.0,0.0,111.0
r,283.4750708687679,28.51425712856428,38,r,,,,,,,0.7503751875938001,159.91999999999933,160.0,0.0,112.0
l,283.4750708687643,28.89778222444556,39,l,29.007,53.0,438.0,1.0,17.0,161.7251,0.7503751875938001,159.91999999999933,160.0,0.0,112.0
r,283.4750708687679,29.26463231615808,39,r,29.403,60.0,436.0,4.0,220.0,162.6016,0.733700183425043,163.55454545454612,160.0,0.0,112.0
l,283.4750708687643,29.64815741203936,40,l,29.74900000000001,54.0,432.0,1.0,16.0,162.1622,0.7170251792562894,167.358139534885,160.0,0.0,113.0
r,300.1500750375179,29.998332499583125,40,r,30.141,61.0,433.0,4.0,247.0,158.5205,0.7503751875937965,159.92000000000007,160.0,0.0,113.0
l,300.1500750375179,30.36518259129565,41,l,30.489,55.0,428.0,1.0,19.0,160.8579,0.7670501917625501,156.4434782608691,160.0,0.0,113.0
r,283.4750708687679,30.74870768717692,41,r,30.898000000000003,62.0,433.0,3.0,243.0,162.1622,0.7337001834250465,163.5545454545453,160.0,0.0,116.0
l,283.4750708687643,31.1322327830582,42,l,31.235,56.0,437.0,1.0,18.0,161.7251,0.7503751875938001,159.91999999999933,160.0,0.0,116.0
r,300.1500750375214,31.482407870601968,42,r,31.638000000000005,63.0,439.0,2.0,227.0,162.6016,0.7503751875937965,159.92000000000007,160.0,0.0,116.0
l,283.4750708687679,31.882607970652,43,l,31.977,57.0,439.0,1.0,18.0,160.4278,0.7337001834250394,163.5545454545469,160.0,0.0,118.0
r,300.1500750375214,32.232783058195764,43,r,32.376,64.0,441.0,3.0,223.0,160.6426,0.7503751875937965,159.92000000000007,160.0,0.0,118.0
l,283.4750708687679,32.61630815407704,44,l,32.725,58.0,429.0,1.0,19.0,162.6016,0.733700183425043,163.55454545454612,160.0,0.0,118.0
r,283.4750708687679,32.98315824578956,44,r,33.123,65.0,430.0,5.0,221.0,162.1622,0.7337001834250501,163.55454545454452,160.0,0.0,118.0
