YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
r,83.3750208437552,0.0,1,r,0.3829999999999991,6.0,341.0,4.0,0.0,163.9344,0.3668500917125229,327.1090909090909,0.0,,0.0
l,300.1500750375188,0.0667000166750041,1,l,0.032,6.0,280.0,13.0,50.0,187.5,0.6336501584125396,189.37894736842105,0.0,,0.0
r,316.8250792062698,0.3668500917125229,2,r,,,,,,,0.7003501750875437,171.34285714285716,0.0,,0.0
l,333.5000833750209,0.7003501750875437,2,l,0.6720000000000006,7.0,323.0,6.0,44.0,163.2653,0.7337001834250457,163.5545454545455,0.0,,0.0
r,350.17508754377167,1.0672002668000666,3,r,1.1149999999999984,7.0,316.0,6.0,0.0,164.6091,0.7170251792562947,167.35813953488375,0.0,,0.0
l,333.500083375021,1.4340503585125894,3,l,1.4069999999999965,8.0,325.0,7.0,37.0,166.4355,0.7337001834250461,163.5545454545454,0.0,,0.0
r,333.500083375021,1.7842254460563614,4,r,1.8439999999999976,8.0,304.0,7.0,0.0,169.4915,0.7337001834250461,163.5545454545454,0.0,,0.0
l,333.50008337502055,2.1677505419376355,4,l,2.127999999999997,9.0,319.0,9.0,42.0,165.5172,0.7170251792562947,167.35813953488375,0.0,,0.0
r,333.50008337502055,2.5179256294814074,5,r,2.551999999999996,9.0,290.0,7.0,0.0,166.4355,0.7170251792562947,167.35813953488375,0.0,,0.0
l,316.82507920626966,2.88477572119393,5,l,2.852999999999998,10.0,305.0,9.0,33.0,168.5393,0.7170251792562947,167.35813953488375,0.0,,0.0
r,316.82507920626966,3.234950808737702,6,r,3.272999999999996,10.0,253.0,13.0,0.0,168.7764,0.7170251792562947,167.35813953488375,0.0,,0.0
l,316.82507920626966,3.601800900450225,6,l,3.5650000000000013,11.0,318.0,7.0,31.0,167.1309,0.7170251792562943,167.35813953488386,0.0,,0.0
r,316.82507920626966,3.951975987993997,7,r,3.983999999999994,11.0,302.0,7.0,0.0,168.5393,0.7170251792562947,167.35813953488375,0.0,,0.0
l,333.5000833750214,4.318826079706519,7,l,4.283000000000001,12.0,322.0,7.0,36.0,168.5393,0.7170251792562956,167.35813953488355,0.0,,0.0
r,316.82507920626966,4.669001167250292,8,r,4.695999999999994,12.0,292.0,7.0,0.0,169.7313,0.7003501750875438,171.34285714285713,0.0,,0.0
l,316.82507920626966,5.035851258962815,8,l,,,,,,,0.7170251792562947,167.35813953488375,0.0,,0.0
r,316.82507920626966,5.369351342337835,9,r,5.402999999999995,13.0,297.0,8.0,96.0,170.4545,0.7003501750875438,171.34285714285713,0.0,,0.0
l,333.50008337502055,5.7528764382191095,9,l,,,,,,,0.7003501750875429,171.34285714285733,0.0,,0.0
r,333.50008337502055,6.069701517425379,10,r,6.106999999999992,14.0,294.0,7.0,99.0,166.8985,0.7170251792562947,167.35813953488375,0.0,,0.0
l,316.8250792062705,6.4532266133066525,10,l,6.410999999999998,15.0,318.0,7.0,44.0,169.4915,0.7003501750875438,171.34285714285713,0.0,,0.0
r,316.82507920626966,6.786726696681674,11,r,6.825999999999993,15.0,296.0,8.0,102.0,166.4355,0.7170251792562947,167.35813953488375,0.0,,0.0
l,333.5000833750214,7.153576788394196,11,l,7.119,16.0,318.0,6.0,47.0,167.5978,0.7170251792562947,167.35813953488375,0.0,,0.0
r,316.82507920626966,7.503751875937969,12,r,7.5469999999999935,16.0,310.0,6.0,179.0,169.0141,0.7170251792562947,167.35813953488375,0.0,,0.0
l,350.1750875437723,7.870601967650491,12,l,7.835000000000001,17.0,350.0,7.0,49.0,168.0672,0.7337001834250456,163.55454545454552,0.0,,0.0
r,333.5000833750214,8.220777055194263,13,r,8.256999999999994,17.0,304.0,7.0,253.0,166.4355,0.7337001834250465,163.5545454545453,0.0,,0.0
l,316.82507920626966,8.604302151075537,13,l,8.549,18.0,319.0,7.0,127.0,164.3836,0.7170251792562947,167.35813953488375,0.0,,0.0
r,316.82507920626966,8.95447723861931,14,r,8.977999999999994,18.0,303.0,6.0,260.0,170.9402,0.7003501750875429,171.34285714285733,0.0,,0.0
l,316.8250792062679,9.321327330331831,14,l,9.279000000000003,19.0,348.0,6.0,222.0,170.9402,0.7003501750875447,171.3428571428569,0.0,,0.0
r,333.5000833750214,9.654827413706853,15,r,9.679999999999993,19.0,314.0,6.0,258.0,167.8322,0.7170251792562947,167.35813953488375,0.0,,0.0
l,333.5000833750197,10.021677505419376,15,l,9.981000000000003,20.0,349.0,7.0,292.0,167.8322,0.7170251792562947,167.35813953488375,0.0,,0.0
r,333.5000833750197,10.371852592963148,16,r,10.394999999999996,20.0,285.0,9.0,258.0,169.2525,0.7003501750875429,171.34285714285733,0.0,,0.0
l,316.82507920626966,10.73870268467567,16,l,10.696000000000009,21.0,317.0,7.0,296.0,169.0141,0.7170251792562947,167.35813953488375,0.0,,0.0
r,333.5000833750214,11.07220276805069,17,r,11.103999999999992,21.0,312.0,6.0,255.0,167.1309,0.7170251792562929,167.35813953488415,0.0,,0.0
l,316.82507920626966,11.455727863931966,17,l,11.40600000000001,22.0,417.0,7.0,294.0,167.1309,0.7170251792562947,167.35813953488375,0.0,,0.0
r,316.8250792062732,11.789227947306983,18,r,,,,,,,0.7170251792562983,167.35813953488292,168.0,,0.0
l,316.82507920626966,12.17275304318826,18,l,12.124000000000011,23.0,322.0,7.0,294.0,168.5393,0.7003501750875429,171.34285714285733,168.0,,0.0
r,333.5000833750179,12.506253126563282,19,r,12.524999999999991,23.0,301.0,6.0,249.0,166.205,0.7003501750875429,171.34285714285733,168.0,,0.0
l,333.5000833750214,12.873103218275803,19,l,12.83600000000001,24.0,324.0,7.0,294.0,169.4915,0.7170251792562947,167.35813953488375,168.0,,0.0
r,333.5000833750214,13.206603301650825,20,r,13.246999999999993,24.0,328.0,5.0,168.0,167.364,0.7337001834250465,163.5545454545453,168.0,,0.0
l,333.5000833750214,13.590128397532098,20,l,13.544000000000016,25.0,358.0,6.0,295.0,167.1309,0.7170251792562947,167.35813953488375,168.0,,0.0
r,333.5000833750197,13.940303485075871,21,r,13.963999999999997,25.0,311.0,6.0,104.0,167.364,0.7003501750875429,171.34285714285733,168.0,,0.0
