YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
r,116.7250291812573,0.0500250125062531,1,r,0.037,2.0,222.0,16.0,1448.0,187.7934,0.6336501584125396,189.37894736842105,0.0,,0.0
l,2067.7005169251293,0.1500750375187593,1,l,,,,,,,1.5174253793563448,79.08131868131868,0.0,,0.0
r,166.7500416875104,0.6836751709187927,2,r,0.676,3.0,232.0,16.0,823.0,191.6933,1.667500416875104,71.96400000000001,0.0,,0.0
r,116.7250291812571,1.6675004168751042,3,r,1.935,5.0,225.0,9.0,323.0,188.383,0.9338002334500581,128.50714285714287,0.0,,0.0
r,200.1000500250125,2.3511755877938967,4,r,2.5719999999999996,6.0,228.0,9.0,206.0,191.3876,0.5002501250625313,239.88,0.0,,0.0
l,150.0750375187594,2.6013006503251623,2,l,2.584,2.0,226.0,9.0,819.0,189.2744,0.5169251292312822,232.14193548387104,0.0,,0.0
r,166.75004168751028,2.851425712856428,5,r,3.199,7.0,230.0,9.0,123.0,191.0828,0.5669501417375353,211.6588235294118,0.0,,0.0
l,166.7500416875107,3.1182257795564445,3,l,3.218,3.0,221.0,11.0,829.0,190.1743,0.5836251459062867,205.6114285714285,0.0,,0.0
r,166.7500416875107,3.4183758545939633,6,r,3.826999999999999,8.0,229.0,9.0,54.0,188.9764,0.5836251459062862,205.61142857142866,0.0,,0.0
l,200.1000500250129,3.701850925462731,4,l,3.849,4.0,225.0,11.0,836.0,191.3876,0.616975154243788,194.49729729729748,0.0,,0.0
r,200.1000500250125,4.0020010005002495,7,r,,,,,,,0.6003001500750376,199.9,0.0,,0.0
l,183.4250458562616,4.318826079706519,5,l,4.476,5.0,227.0,10.0,840.0,189.8734,0.5836251459062867,205.6114285714285,0.0,,0.0
r,200.1000500250125,4.602301150575287,8,r,5.0969999999999995,10.0,224.0,11.0,65.0,188.9764,0.6169751542437885,194.49729729729734,0.0,,0.0
l,200.1000500250125,4.902451225612806,6,l,5.1080000000000005,6.0,229.0,12.0,841.0,188.383,0.6169751542437885,194.49729729729734,0.0,,0.0
r,216.7750541937634,5.219276304819076,9,r,,,,,,,0.6003001500750376,199.9,0.0,,0.0
l,200.1000500250125,5.519426379856594,7,l,5.745,7.0,232.0,10.0,843.0,191.6933,0.6169751542437885,194.49729729729734,0.0,,0.0
r,216.7750541937634,5.819576454894113,10,r,5.731999999999999,11.0,222.0,10.0,68.0,187.5,0.6169751542437885,194.49729729729734,0.0,,0.0
l,200.1000500250125,6.136401534100383,8,l,6.371,8.0,231.0,11.0,846.0,188.9764,0.6169751542437885,194.49729729729734,0.0,,0.0
r,200.1000500250125,6.436551609137902,11,r,6.372,12.0,227.0,8.0,73.0,191.3876,0.6169751542437885,194.49729729729734,0.0,,0.0
l,183.4250458562616,6.753376688344171,9,l,7.006,9.0,226.0,10.0,966.0,188.0878,0.6169751542437893,194.49729729729705,0.0,,0.0
r,200.1000500250125,7.05352676338169,12,r,6.999,13.0,222.0,10.0,77.0,194.4895,0.6169751542437885,194.49729729729734,0.0,,0.0
l,200.1000500250116,7.370351842587961,10,l,7.644,10.0,225.0,11.0,937.0,190.779,0.6169751542437885,194.49729729729734,0.0,,0.0
r,200.1000500250125,7.6705019176254785,13,r,7.616,14.0,226.0,10.0,79.0,187.5,0.6169751542437885,194.49729729729734,0.0,,0.0
l,200.1000500250125,7.987326996831749,11,l,8.273,11.0,222.0,12.0,906.0,189.5735,0.6169751542437876,194.49729729729762,0.0,,0.0
r,216.7750541937643,8.287477071869267,14,r,8.256,15.0,235.0,9.0,81.0,188.9764,0.6336501584125394,189.3789473684211,0.0,,0.0
l,216.7750541937643,8.604302151075537,12,l,8.906,12.0,225.0,12.0,870.0,188.0878,0.6336501584125394,189.3789473684211,0.0,,0.0
r,216.7750541937643,8.921127230281806,15,r,8.891,16.0,232.0,9.0,84.0,190.779,0.6169751542437893,194.49729729729705,0.0,,0.0
l,200.1000500250125,9.237952309488076,13,l,9.544,13.0,225.0,12.0,854.0,193.2367,0.6169751542437876,194.49729729729762,0.0,,0.0
r,216.77505419376251,9.538102384525596,16,r,9.52,17.0,228.0,10.0,86.0,187.2075,0.6169751542437876,194.49729729729762,0.0,,0.0
l,216.775054193766,9.854927463731864,14,l,10.165,14.0,230.0,10.0,831.0,189.8734,0.6336501584125411,189.3789473684206,0.0,,0.0
r,216.7750541937643,10.155077538769383,17,r,10.161,18.0,232.0,9.0,87.0,187.2075,0.6336501584125411,189.3789473684206,0.0,,0.0
l,200.1000500250107,10.488577622144405,15,l,10.797,15.0,227.0,11.0,808.0,191.3876,0.6169751542437893,194.49729729729705,0.0,,0.0
r,216.7750541937643,10.788727697181924,18,r,10.802,19.0,228.0,10.0,89.0,191.6933,0.6169751542437876,194.49729729729762,0.0,,0.0
l,200.1000500250143,11.105552776388194,16,l,11.424,16.0,226.0,13.0,762.0,185.7585,0.6169751542437876,194.49729729729762,0.0,,0.0
r,216.7750541937643,11.405702851425712,19,r,11.428,20.0,229.0,11.0,88.0,186.0465,0.6336501584125394,189.3789473684211,0.0,,0.0
l,200.1000500250125,11.722527930631982,17,l,12.07,17.0,225.0,11.0,731.0,189.5735,0.6336501584125376,189.37894736842165,0.0,,0.0
r,216.7750541937643,12.039353009838251,20,r,12.073,21.0,226.0,10.0,87.0,190.1743,0.6169751542437893,194.49729729729705,0.0,,0.0
l,216.7750541937643,12.35617808904452,18,l,12.703,18.0,229.0,11.0,717.0,187.5,0.6169751542437911,194.49729729729648,0.0,,0.0
