YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
r,233.4500583625145,0.1167250291812573,1,r,0.0499999999999971,10.0,754.0,14.0,47.0,99.1736,0.7170251792562948,167.35813953488372,,,
l,233.4500583625145,0.4669001167250292,1,l,0.4299999999999997,6.0,369.0,4.0,310.0,135.9003,0.7170251792562948,167.35813953488372,,,
r,250.1250625312656,0.8337502084375521,2,r,1.259999999999998,11.0,274.0,10.0,65.0,160.4278,0.7337001834250458,163.55454545454546,0.0,0.0,0.0
l,266.8000667000165,1.183925295981324,2,l,1.3130000000000024,7.0,268.0,10.0,323.0,167.364,0.700350175087544,171.34285714285707,0.0,0.0,0.0
r,250.1250625312661,1.567450391862598,3,r,2.007999999999996,12.0,298.0,11.0,79.0,169.9717,0.6836751709187925,175.52195121951226,0.0,0.0,0.0
l,283.4750708687674,1.884275471068868,3,l,2.029999999999987,8.0,290.0,9.0,271.0,168.5393,0.7170251792562943,167.35813953488386,0.0,0.0,0.0
r,316.8250792062701,2.2511255627813904,4,r,2.713999999999998,13.0,306.0,11.0,151.0,163.9344,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
l,316.82507920626966,2.6013006503251623,4,l,2.7419999999999902,9.0,294.0,13.0,277.0,165.0619,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,316.8250792062705,2.968150742037685,5,r,3.445999999999998,14.0,340.0,9.0,213.0,168.0672,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
l,316.8250792062701,3.318325829581457,5,l,3.4690000000000083,10.0,322.0,7.0,225.0,167.5978,0.7170251792562952,167.35813953488363,0.0,0.0,0.0
r,316.82507920626966,3.68517592129398,6,r,4.159999999999997,15.0,306.0,9.0,281.0,169.4915,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
l,300.1500750375188,4.035351008837752,6,l,4.185000000000002,11.0,330.0,6.0,211.0,168.7764,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,316.82507920626966,4.402201100550275,7,r,4.868000000000002,16.0,344.0,8.0,332.0,168.0672,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
l,316.82507920626966,4.752376188094047,7,l,4.896000000000001,12.0,329.0,7.0,161.0,164.3836,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,300.1500750375179,5.135901283975321,8,r,5.582000000000001,17.0,331.0,10.0,389.0,161.0738,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
l,316.82507920626966,5.469401367350342,8,l,5.625999999999991,13.0,304.0,8.0,115.0,166.8985,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
r,300.1500750375188,5.852926463231616,9,r,6.327000000000005,18.0,361.0,10.0,0.0,165.7459,0.7170251792562956,167.35813953488355,0.0,0.0,0.0
l,283.4750708687679,6.219776554944138,9,l,6.344999999999985,14.0,300.0,7.0,97.0,162.8223,0.7003501750875438,171.34285714285713,0.0,0.0,0.0
r,316.8250792062688,6.569951642487911,10,r,7.051000000000009,19.0,331.0,11.0,0.0,161.7251,0.7337001834250447,163.5545454545457,0.0,0.0,0.0
l,300.1500750375188,6.920126730031682,10,l,7.081999999999994,15.0,304.0,8.0,92.0,163.4877,0.7337001834250456,163.55454545454552,0.0,0.0,0.0
r,300.1500750375188,7.303651825912956,11,r,7.793000000000006,20.0,396.0,8.0,0.0,167.5978,0.7003501750875429,171.34285714285733,0.0,0.0,0.0
l,300.1500750375188,7.653826913456728,11,l,7.816000000000002,16.0,304.0,7.0,96.0,165.0619,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,333.5000833750214,8.004002001000499,12,r,,,,,,,0.7503751875937983,159.9199999999997,0.0,0.0,0.0
l,316.82507920626966,8.370852092713022,12,l,8.543000000000006,17.0,308.0,7.0,136.0,164.3836,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
r,316.8250792062714,8.754377188594297,13,r,8.509,21.0,401.0,11.0,0.0,161.7251,0.7337001834250447,163.5545454545457,166.0,0.0,0.0
l,316.8250792062714,9.104552276138069,13,l,9.272999999999996,18.0,306.0,8.0,140.0,162.8223,0.7337001834250447,163.5545454545457,166.0,0.0,0.0
r,300.1500750375196,9.488077372019342,14,r,9.251000000000005,22.0,388.0,11.0,0.0,166.6667,0.7337001834250465,163.5545454545453,166.0,0.0,0.0
l,333.50008337502317,9.838252459563114,14,l,10.010000000000003,19.0,318.0,7.0,109.0,166.205,0.7337001834250465,163.5545454545453,166.0,0.0,0.0
r,300.1500750375179,10.221777555444389,15,r,9.971000000000004,23.0,399.0,9.0,0.0,165.2893,0.7170251792562947,167.35813953488375,166.0,0.0,0.0
l,316.82507920626966,10.57195264298816,15,l,10.732000000000014,20.0,308.0,8.0,111.0,164.1587,0.7170251792562965,167.35813953488332,164.0,0.0,0.0
r,333.5000833750214,10.938802734700683,16,r,10.697000000000005,24.0,395.0,9.0,0.0,163.4877,0.7503751875937965,159.92000000000007,164.0,0.0,0.0
l,333.5000833750197,11.288977822244457,16,l,11.463000000000008,21.0,310.0,7.0,105.0,166.205,0.7503751875937947,159.92000000000044,164.0,0.0,0.0
r,283.4750708687679,11.68917792229448,17,r,11.431000000000012,25.0,338.0,10.0,0.0,163.0435,0.7170251792562965,167.35813953488332,164.0,0.0,0.0
l,316.8250792062679,12.039353009838251,17,l,12.185000000000016,22.0,314.0,7.0,104.0,161.9433,0.7170251792562947,167.35813953488375,164.0,0.0,0.0
r,300.1500750375179,12.406203101550776,18,r,12.167000000000002,26.0,330.0,9.0,0.0,166.6667,0.733700183425043,163.55454545454612,164.0,0.0,0.0
l,316.82507920626966,12.756378189094546,18,l,12.926000000000016,23.0,309.0,7.0,101.0,165.2893,0.7337001834250465,163.5545454545453,164.0,0.0,0.0
r,316.8250792062714,13.13990328497582,19,r,12.887,27.0,368.0,9.0,0.0,164.8352,0.7170251792562965,167.35813953488332,164.0,0.0,0.0
l,316.82507920626966,13.490078372519593,19,l,13.652000000000015,24.0,306.0,8.0,98.0,164.6091,0.7170251792562947,167.35813953488375,164.0,0.0,0.0
r,333.5000833750197,13.856928464232116,20,r,13.615000000000007,28.0,338.0,8.0,0.0,163.4877,0.7337001834250447,163.5545454545457,164.0,0.0,0.0
l,333.5000833750214,14.207103551775887,20,l,14.381000000000029,25.0,319.0,7.0,84.0,164.3836,0.7337001834250465,163.5545454545453,164.0,0.0,0.0
r,316.82507920626966,14.59062864765716,21,r,14.349000000000004,29.0,344.0,9.0,0.0,165.2893,0.7503751875937947,159.92000000000044,164.0,0.0,0.0
