YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
l,250.1250625312656,0.1334000333500083,1,l,0.1099999999999994,9.0,241.0,11.0,0.0,180.1802,0.7003501750875438,171.34285714285713,,,
r,233.4500583625146,0.5002501250625312,1,r,0.4799999999999969,11.0,230.0,8.0,0.0,175.6955,0.6670001667500417,179.91,0.0,0.0,0.0
l,266.8000667000165,0.8337502084375521,2,l,0.7759999999999962,10.0,279.0,14.0,0.0,182.6484,0.6670001667500416,179.91000000000005,0.0,0.0,0.0
r,283.4750708687676,1.167250291812573,2,r,1.1629999999999967,12.0,282.0,9.0,0.0,182.0941,0.6503251625812911,184.5230769230768,0.0,0.0,0.0
l,283.4750708687676,1.5007503751875937,3,l,1.4329999999999998,11.0,294.0,12.0,0.0,182.9268,0.6336501584125396,189.37894736842105,0.0,0.0,0.0
r,283.475070868767,1.817575454393864,3,r,1.821999999999996,13.0,278.0,10.0,0.0,182.6484,0.6336501584125389,189.37894736842125,0.0,0.0,0.0
l,316.82507920626966,2.1344005336001333,4,l,2.088999999999998,12.0,297.0,11.0,0.0,180.9955,0.6670001667500416,179.91000000000005,0.0,0.0,0.0
r,333.500083375021,2.451225612806403,4,r,2.478999999999999,14.0,282.0,10.0,0.0,182.6484,0.6670001667500416,179.91000000000005,0.0,0.0,0.0
l,316.82507920626966,2.801400700350175,5,l,2.7520000000000024,13.0,288.0,9.0,0.0,184.6154,0.6670001667500416,179.91000000000005,0.0,0.0,0.0
r,300.15007503751923,3.1182257795564445,5,r,3.136000000000003,15.0,268.0,10.0,0.0,182.6484,0.6670001667500416,179.91000000000005,0.0,0.0,0.0
l,300.1500750375188,3.4684008671002164,6,l,3.402000000000001,14.0,303.0,10.0,0.0,182.0941,0.6336501584125394,189.3789473684211,0.0,0.0,0.0
r,300.1500750375188,3.785225946306486,6,r,3.7929999999999993,16.0,282.0,8.0,0.0,183.7672,0.6503251625812911,184.5230769230768,0.0,0.0,0.0
l,316.82507920626966,4.102051025512756,7,l,4.061,15.0,296.0,11.0,0.0,183.4862,0.667000166750042,179.9099999999999,0.0,0.0,0.0
r,300.1500750375188,4.435551108887777,7,r,4.446000000000005,17.0,268.0,12.0,0.0,183.7672,0.6503251625812911,184.5230769230768,0.0,0.0,0.0
l,316.8250792062705,4.769051192262798,8,l,4.715000000000003,16.0,294.0,12.0,211.0,180.9955,0.6503251625812903,184.52307692307704,0.0,0.0,0.0
