YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,283.4750708687678,0.3668500917125229,1,r,0.3500000000000014,7.0,284.0,6.0,0.0,163.0435,0.7003501750875437,171.34285714285716,,,,,,
l,300.1500750375186,0.7170251792562948,1,l,0.798,8.0,279.0,7.0,0.0,165.2893,0.7170251792562948,167.35813953488372,120.0,0.0,108.0,,,
r,300.1500750375188,1.0672002668000666,2,r,1.086000000000002,8.0,280.0,6.0,0.0,167.364,0.7170251792562949,167.3581395348837,120.0,0.0,108.0,,,
l,283.4750708687674,1.4340503585125897,2,l,1.524000000000001,9.0,278.0,6.0,0.0,164.8352,0.7170251792562949,167.3581395348837,120.0,0.0,108.0,,,
r,300.1500750375185,1.7842254460563616,3,r,1.8030000000000008,9.0,283.0,5.0,0.0,165.5172,0.7337001834250458,163.55454545454546,120.0,0.0,109.0,,,
l,300.1500750375188,2.1510755377688846,3,l,2.2520000000000007,10.0,284.0,5.0,0.0,163.9344,0.7337001834250456,163.55454545454552,120.0,0.0,109.0,,,
r,300.1500750375188,2.5179256294814074,4,r,2.5280000000000022,10.0,288.0,5.0,0.0,163.4877,0.7337001834250456,163.55454545454552,128.0,0.0,111.0,,,
l,283.4750708687679,2.88477572119393,4,l,2.984,11.0,284.0,5.0,0.0,166.6667,0.7337001834250456,163.55454545454552,128.0,0.0,111.0,,,
r,283.4750708687679,3.251625812906453,5,r,3.2620000000000005,11.0,292.0,5.0,0.0,163.7108,0.7170251792562952,167.35813953488363,128.0,0.0,111.0,,,
l,283.4750708687683,3.618475904618976,5,l,3.703999999999999,12.0,284.0,5.0,0.0,163.9344,0.7170251792562952,167.35813953488363,138.0,390.0,111.0,,,
r,300.15007503751826,3.968650992162748,6,r,3.995000000000001,12.0,288.0,5.0,0.0,167.1309,0.7337001834250461,163.5545454545454,138.0,390.0,111.0,,,
