YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
r,66.7000166750042,0.2167750541937635,1,r,0.4799999999999969,5.0,161.0,8.0,227.0,210.1576,0.2668000667000166,449.775,,,
l,133.4000333500083,0.2668000667000166,1,l,0.259999999999998,5.0,804.0,15.0,242.0,106.1947,0.4835751208937802,248.15172413793104,,,
r,116.7250291812572,0.4835751208937802,2,r,,,,,,,0.5502751375687844,218.0727272727273,,,
l,133.4000333500083,0.7503751875937968,2,l,,,,,,,0.5169251292312823,232.14193548387095,0.0,0.0,0.0
r,150.0750375187594,1.0338502584625646,3,r,1.0509999999999948,6.0,179.0,14.0,299.0,205.8319,0.5836251459062864,205.61142857142855,0.0,0.0,0.0
l,166.75004168751028,1.2673003168250792,3,l,1.3900000000000006,6.0,170.0,1.0,230.0,215.8273,0.6003001500750376,199.9,0.0,0.0,0.0
r,150.0750375187594,1.617475404368851,4,r,1.6339999999999932,7.0,183.0,16.0,376.0,218.5792,0.5669501417375353,211.6588235294118,0.0,0.0,0.0
l,166.75004168751028,1.8676004669001167,4,l,1.945999999999998,7.0,170.0,12.0,219.0,213.5231,0.6003001500750376,199.9,0.0,0.0,0.0
r,150.0750375187594,2.1844255461063864,5,r,2.1829999999999927,8.0,171.0,16.0,387.0,224.2991,0.5502751375687844,218.0727272727273,0.0,0.0,0.0
l,150.0750375187594,2.4679006169751543,5,l,2.507999999999996,8.0,185.0,12.0,241.0,206.5404,0.5336001334000335,224.8874999999999,0.0,0.0,0.0
r,133.400033350008,2.734700683675171,6,r,2.7179999999999964,9.0,187.0,16.0,394.0,224.7191,0.5336001334000331,224.8875000000001,0.0,0.0,0.0
l,166.7500416875098,3.001500750375188,6,l,3.088999999999998,9.0,185.0,16.0,322.0,237.6238,0.550275137568784,218.07272727272743,0.0,0.0,0.0
r,150.0750375187598,3.268300817075204,7,r,3.251999999999996,10.0,199.0,16.0,319.0,212.3894,0.5336001334000335,224.8874999999999,0.0,0.0,0.0
l,166.75004168751028,3.551775887943972,7,l,3.593999999999994,10.0,199.0,16.0,269.0,203.0457,0.550275137568784,218.07272727272743,0.0,0.0,0.0
r,166.7500416875107,3.8019009504752375,8,r,3.816999999999993,11.0,206.0,16.0,244.0,200.6689,0.5669501417375353,211.6588235294118,0.0,0.0,0.0
l,166.7500416875107,4.102051025512756,8,l,4.184999999999995,11.0,201.0,16.0,224.0,218.1818,0.5669501417375358,211.65882352941165,0.0,0.0,0.0
r,166.75004168751158,4.368851092212773,9,r,4.414999999999999,12.0,199.0,16.0,233.0,199.005,0.5836251459062876,205.61142857142815,0.0,0.0,0.0
l,166.7500416875107,4.669001167250292,9,l,4.734999999999999,12.0,202.0,16.0,254.0,214.2857,0.5836251459062867,205.6114285714285,0.0,0.0,0.0
r,183.4250458562607,4.95247623811906,10,r,5.017999999999994,13.0,205.0,16.0,244.0,204.4293,0.6003001500750367,199.9000000000003,0.0,0.0,0.0
