YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
l,316.8250792062698,0.0500250125062531,1,l,0.1000000000000014,6.0,299.0,15.0,0.0,184.8998,0.6503251625812906,184.52307692307696,,,,,,
r,333.5000833750208,0.400200100050025,1,r,0.4200000000000017,6.0,290.0,16.0,77.0,173.4104,0.6336501584125396,189.37894736842105,,,,,,
l,333.5000833750209,0.7003501750875437,2,l,0.7489999999999988,7.0,280.0,16.0,0.0,169.7313,0.6836751709187926,175.52195121951223,0.0,0.0,0.0,,,
r,316.82507920626966,1.0338502584625646,2,r,1.112000000000002,7.0,296.0,16.0,108.0,163.4877,0.7170251792562945,167.3581395348838,0.0,0.0,0.0,,,
l,283.4750708687679,1.3840253460063363,3,l,1.4559999999999995,8.0,304.0,16.0,0.0,157.0681,0.7337001834250461,163.5545454545454,0.0,0.0,0.0,,,
r,283.4750708687679,1.7508754377188591,3,r,1.846,8.0,296.0,16.0,142.0,159.1512,0.7337001834250461,163.5545454545454,0.0,0.0,0.0,,,
l,300.1500750375188,2.1177255294313824,4,l,2.219999999999999,9.0,306.0,16.0,0.0,160.2136,0.7503751875937965,159.92000000000007,0.0,0.0,0.0,,,
r,333.50008337502055,2.484575621143905,4,r,2.6000000000000014,9.0,314.0,16.0,180.0,159.5745,0.750375187593797,159.92,0.0,0.0,0.0,,,
l,316.8250792062701,2.868100717025179,5,l,2.9689999999999976,10.0,332.0,14.0,0.0,163.4877,0.750375187593797,159.92,0.0,0.0,0.0,,,
r,333.50008337502055,3.234950808737702,5,r,3.3520000000000003,10.0,294.0,16.0,217.0,166.205,0.7503751875937961,159.9200000000002,0.0,0.0,0.0,,,
l,333.500083375021,3.618475904618976,6,l,3.702999999999996,11.0,301.0,16.0,0.0,163.7108,0.7170251792562952,167.35813953488363,0.0,0.0,0.0,,,
r,316.8250792062701,3.985325996331498,6,r,4.074000000000002,11.0,312.0,16.0,253.0,162.6016,0.7337001834250461,163.5545454545454,0.0,0.0,0.0,,,
l,333.50008337502055,4.335501083875271,7,l,4.435999999999996,12.0,292.0,16.0,0.0,162.1622,0.7337001834250456,163.55454545454552,0.0,0.0,0.0,,,
r,316.8250792062705,4.719026179756544,7,r,4.812000000000001,12.0,302.0,15.0,270.0,160.8579,0.7503751875937974,159.9199999999999,0.0,0.0,0.0,,,
l,316.82507920626966,5.069201267300317,8,l,5.175999999999995,13.0,317.0,16.0,0.0,160.2136,0.7337001834250456,163.55454545454552,0.0,0.0,0.0,,,
r,283.4750708687679,5.469401367350342,8,r,5.558,13.0,322.0,16.0,359.0,160.0,0.7337001834250456,163.55454545454552,0.0,0.0,0.0,,,
l,350.1750875437723,5.802901450725362,9,l,5.924999999999997,14.0,330.0,16.0,148.0,161.2903,0.7837251959312992,153.1148936170212,0.0,0.0,0.0,,,
r,333.50008337502055,6.203101550775387,9,r,6.307999999999996,14.0,320.0,16.0,339.0,162.1622,0.7503751875937965,159.92000000000007,0.0,0.0,0.0,,,
l,333.50008337502055,6.586626646656661,10,l,6.668999999999997,15.0,302.0,16.0,115.0,159.5745,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,,,
r,316.8250792062705,6.953476738369184,10,r,7.047999999999995,15.0,304.0,16.0,317.0,156.25,0.7337001834250465,163.5545454545453,0.0,0.0,0.0,,,
l,333.50008337502055,7.303651825912956,11,l,7.420999999999996,16.0,316.0,16.0,121.0,156.4537,0.7837251959312983,153.1148936170214,0.0,0.0,0.0,,,
r,333.50008337502055,7.68717692179423,11,r,7.815999999999995,16.0,312.0,16.0,294.0,157.8947,0.7837251959312992,153.1148936170212,0.0,0.0,0.0,,,
l,316.82507920626966,8.087377021844254,12,l,8.187999999999995,17.0,298.0,16.0,118.0,157.0681,0.7337001834250465,163.5545454545453,0.0,0.0,0.0,,,
r,316.82507920626966,8.47090211772553,12,r,8.576,17.0,318.0,16.0,267.0,157.0681,0.7670501917625465,156.44347826086985,0.0,0.0,0.0,,,
l,333.5000833750214,8.821077205269301,13,l,8.951999999999998,18.0,343.0,16.0,131.0,157.8947,0.7670501917625483,156.44347826086948,0.0,0.0,0.0,,,
r,333.5000833750197,9.237952309488076,13,r,9.340000000000003,18.0,296.0,14.0,244.0,156.658,0.7503751875937983,159.9199999999997,0.0,0.0,0.0,,,
l,366.8500917125215,9.58812739703185,14,l,9.712000000000003,19.0,325.0,16.0,119.0,157.2739,0.7837251959312983,153.1148936170214,160.0,0.0,0.0,,,
r,333.5000833750197,9.988327497081874,14,r,10.106000000000002,19.0,320.0,16.0,292.0,160.8579,0.7503751875937965,159.92000000000007,160.0,0.0,0.0,,,
l,350.1750875437732,10.371852592963148,15,l,10.475,20.0,328.0,16.0,130.0,157.4803,0.7503751875937965,159.92000000000007,160.0,0.0,0.0,,,
r,350.17508754377144,10.73870268467567,15,r,10.852000000000004,20.0,320.0,16.0,327.0,152.2843,0.7670501917625501,156.4434782608691,160.0,0.0,0.0,,,
