YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,299.9749520150141,0.016675004168751,1,r,,,,,,,0.6336501584125396,189.37894736842105,,,,,,
l,273.5000833750208,0.2001000500250125,1,l,0.2199999999999988,4.0,296.0,13.0,95.0,155.4404,0.8337502084375521,143.928,,,,,,
r,260.1500750375188,0.6503251625812906,2,r,0.6599999999999966,2.0,293.0,11.0,272.0,147.2393,0.7670501917625477,156.4434782608696,0.0,0.0,0.0,,,
l,290.17508754377167,1.0338502584625646,2,l,0.9919999999999972,5.0,274.0,12.0,77.0,153.4527,0.7337001834250458,163.55454545454546,0.0,0.0,0.0,,,
r,260.1500750375188,1.4173753543438383,3,r,1.4749999999999943,3.0,264.0,13.0,223.0,153.4527,0.7670501917625481,156.44347826086954,0.0,0.0,0.0,,,
l,273.5000833750205,1.7675504418876105,3,l,1.774000000000001,6.0,252.0,12.0,96.0,155.4404,0.7837251959312987,153.11489361702132,0.0,0.0,0.0,,,
r,260.1500750375188,2.1844255461063864,4,r,2.256999999999998,4.0,272.0,10.0,149.0,156.658,0.7670501917625479,156.44347826086957,0.0,0.0,0.0,,,
l,256.82507920626966,2.551275637818909,4,l,2.546,7.0,282.0,9.0,74.0,157.4803,0.7837251959312992,153.1148936170212,0.0,0.0,0.0,,,
r,260.1500750375188,2.9514757378689342,5,r,3.022999999999996,5.0,267.0,10.0,97.0,155.642,0.7670501917625479,156.44347826086957,0.0,0.0,0.0,,,
l,256.82507920626966,3.3350008337502084,5,l,3.308000000000007,8.0,266.0,12.0,83.0,153.8462,0.7670501917625474,156.44347826086968,0.0,0.0,0.0,,,
r,260.15007503751923,3.718525929631482,6,r,3.793999999999997,6.0,269.0,11.0,86.0,150.7538,0.7670501917625479,156.44347826086957,0.0,0.0,0.0,,,
l,256.82507920626966,4.102051025512756,6,l,,,,,,,0.7670501917625483,156.44347826086948,0.0,0.0,0.0,,,
r,260.1500750375188,4.48557612139403,7,r,4.589999999999996,7.0,266.0,10.0,109.0,153.0612,0.7837251959312992,153.1148936170212,0.0,0.0,0.0,,,
l,290.17508754377144,4.869101217275304,7,l,4.872000000000007,10.0,274.0,11.0,124.0,154.6392,0.7837251959312992,153.1148936170212,0.0,0.0,0.0,,,
r,260.1500750375188,5.269301317325329,8,r,5.374000000000002,8.0,273.0,9.0,132.0,161.5074,0.8004002001000501,149.92499999999998,0.0,0.0,0.0,,,
l,273.5000833750205,5.652826413206603,8,l,5.648000000000003,11.0,268.0,10.0,165.0,152.6718,0.7837251959312983,153.1148936170214,0.0,0.0,0.0,,,
r,260.1500750375188,6.069701517425379,9,r,6.116999999999997,9.0,269.0,11.0,117.0,153.8462,0.7670501917625474,156.44347826086968,0.0,0.0,0.0,,,
l,256.82507920626966,6.436551609137902,9,l,6.434000000000005,12.0,282.0,9.0,152.0,153.2567,0.7837251959312992,153.1148936170212,0.0,0.0,0.0,,,
r,260.1500750375188,6.836751709187927,10,r,6.896999999999999,10.0,286.0,10.0,114.0,147.7833,0.7837251959312992,153.1148936170212,0.0,0.0,0.0,,,
l,273.5000833750205,7.220276805069201,10,l,7.217000000000006,13.0,278.0,7.0,158.0,152.6718,0.8004002001000501,149.92499999999998,0.0,0.0,0.0,,,
r,260.1500750375188,7.620476905119226,11,r,7.708999999999996,11.0,276.0,9.0,112.0,152.2843,0.7837251959312983,153.1148936170214,0.0,0.0,0.0,,,
l,256.82507920626966,8.02067700516925,11,l,8.003000000000007,14.0,292.0,9.0,0.0,150.3759,0.7837251959312983,153.1148936170214,0.0,0.0,0.0,,,
r,276.82507920626966,8.404202101050524,12,r,8.496999999999993,12.0,285.0,9.0,123.0,156.4537,0.8004002001000501,149.92499999999998,0.0,0.0,0.0,,,
l,273.5000833750214,8.80440220110055,12,l,8.801000000000009,15.0,284.0,8.0,0.0,151.5152,0.7837251959313001,153.11489361702107,0.0,0.0,0.0,,,
r,260.1500750375196,9.204602301150574,13,r,9.263999999999996,13.0,278.0,9.0,160.0,152.2843,0.8004002001000501,149.92499999999998,0.0,0.0,0.0,,,
l,273.5000833750179,9.58812739703185,13,l,9.593000000000004,16.0,286.0,7.0,0.0,151.8987,0.8337502084375501,143.92800000000034,154.0,0.0,0.0,,,
r,260.1500750375196,10.005002501250624,14,r,10.052,14.0,277.0,9.0,196.0,149.6259,0.7837251959313001,153.11489361702107,154.0,0.0,0.0,,,
l,273.5000833750179,10.4218776054694,14,l,10.383000000000004,17.0,266.0,10.0,0.0,150.3759,0.7670501917625501,156.4434782608691,154.0,0.0,0.0,,,
r,260.1500750375179,10.788727697181924,15,r,10.854,15.0,275.0,10.0,190.0,154.8387,0.8004002001000501,149.92499999999998,154.0,0.0,0.0,,,
l,273.5000833750179,11.18892779723195,15,l,11.181000000000004,18.0,296.0,9.0,0.0,152.2843,0.7837251959312983,153.1148936170214,154.0,0.0,0.0,,,
r,276.82507920626966,11.589127897281974,16,r,11.628999999999998,16.0,296.0,8.0,176.0,143.5407,0.8170752042688019,146.86530612244883,154.0,0.0,0.0,,,
l,290.17508754377144,11.972652993163248,16,l,11.969,19.0,278.0,9.0,0.0,151.5152,0.7837251959312983,153.1148936170214,154.0,0.0,0.0,,,
r,276.82507920626966,12.406203101550776,17,r,12.464999999999996,17.0,289.0,8.0,168.0,152.0913,0.7670501917625483,156.44347826086948,154.0,0.0,0.0,,,
l,273.5000833750214,12.756378189094546,17,l,12.761000000000005,20.0,286.0,9.0,0.0,152.6718,0.8004002001000501,149.92499999999998,154.0,0.0,0.0,,,
r,260.1500750375161,13.173253293313325,18,r,13.253999999999998,18.0,285.0,10.0,203.0,151.1335,0.8004002001000465,149.9250000000007,154.0,0.0,0.0,,,
l,273.5000833750214,13.556778389194596,18,l,13.547000000000004,21.0,280.0,8.0,0.0,150.3759,0.7837251959313001,153.11489361702107,152.0,0.0,0.0,,,
r,260.1500750375196,13.973653493413371,19,r,14.047999999999996,19.0,282.0,8.0,246.0,153.4527,0.8004002001000536,149.92499999999933,152.0,0.0,0.0,,,
l,273.5000833750197,14.340503585125896,19,l,14.345,22.0,284.0,10.0,211.0,151.5152,0.8004002001000483,149.92500000000032,152.0,0.0,0.0,,,
