YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate,Manual_Foot,Manual_Contact_Time,Manual_Start_Time
r,216.7750541937635,0.383525095881274,1,r,0.3800000000000025,14.0,198.0,10.0,0.0,179.91,0.6836751709187927,175.5219512195122,,,,,,
l,216.7750541937635,0.7170251792562948,1,l,0.6890000000000001,11.0,201.0,13.0,0.0,172.9107,0.6836751709187928,175.52195121951218,0.0,0.0,0.0,,,
r,216.7750541937638,1.0672002668000666,2,r,1.047000000000004,15.0,206.0,10.0,0.0,176.7305,0.6836751709187929,175.52195121951215,0.0,0.0,0.0,,,
l,233.4500583625145,1.4007003501750876,2,l,1.3829999999999956,12.0,221.0,13.0,0.0,170.9402,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,,,
r,233.4500583625145,1.7508754377188596,3,r,1.725999999999999,16.0,232.0,9.0,0.0,300.7519,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
l,216.7750541937634,2.1177255294313824,3,l,2.085000000000001,13.0,219.0,14.0,0.0,170.4545,0.6836751709187938,175.52195121951192,0.0,0.0,0.0,,,
r,233.4500583625143,2.4512256128064034,4,r,,,,,,,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
l,233.4500583625138,2.801400700350176,4,l,2.789000000000001,14.0,227.0,11.0,0.0,170.2128,0.7003501750875429,171.34285714285733,0.0,0.0,0.0,,,
r,233.4500583625138,3.151575787893947,5,r,,,,,,,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
l,233.4500583625143,3.501750875437719,5,l,3.494000000000007,15.0,231.0,11.0,0.0,169.4915,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,,,
r,233.4500583625147,3.851925962981491,6,r,3.838000000000001,19.0,230.0,9.0,0.0,170.2128,0.7170251792562943,167.35813953488386,0.0,0.0,0.0,,,
l,233.4500583625143,4.218776054694014,6,l,4.202000000000005,16.0,231.0,10.0,0.0,171.4286,0.6836751709187929,175.52195121951215,0.0,0.0,0.0,,,
r,233.4500583625152,4.568951142237785,7,r,4.543000000000006,20.0,235.0,8.0,0.0,170.2128,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
l,250.1250625312652,4.902451225612807,7,l,4.902000000000008,17.0,239.0,9.0,0.0,169.9717,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,,,
r,216.7750541937634,5.269301317325329,8,r,5.248000000000005,21.0,224.0,10.0,0.0,169.9717,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
l,233.4500583625143,5.6194764048691015,8,l,5.608000000000011,18.0,239.0,11.0,88.0,170.4545,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
r,233.4500583625152,5.969651492412873,9,r,5.954000000000008,22.0,224.0,10.0,0.0,171.184,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
l,233.4500583625143,6.319826579956645,9,l,6.312000000000012,19.0,237.0,10.0,102.0,169.9717,0.7003501750875438,171.34285714285713,0.0,0.0,0.0,,,
r,233.4500583625152,6.670001667500417,10,r,6.655000000000008,23.0,240.0,9.0,0.0,169.7313,0.7170251792562938,167.35813953488395,0.0,0.0,0.0,,,
l,250.1250625312652,7.020176755044189,10,l,7.018000000000015,20.0,239.0,11.0,146.0,169.9717,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,,,
r,216.7750541937652,7.387026846756711,11,r,7.362000000000016,24.0,237.0,9.0,144.0,170.9402,0.7003501750875456,171.3428571428567,0.0,0.0,0.0,,,
l,233.4500583625143,7.737201934300484,11,l,7.724000000000018,21.0,239.0,11.0,163.0,168.3029,0.7170251792562938,167.35813953488395,0.0,0.0,0.0,,,
r,233.4500583625143,8.087377021844256,12,r,,,,,,,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,,,
l,233.45005836251607,8.454227113556778,12,l,8.437000000000019,22.0,241.0,11.0,170.0,167.5978,0.7003501750875447,171.3428571428569,0.0,0.0,0.0,,,
r,233.45005836251252,8.804402201100551,13,r,,,,,,,0.7170251792562947,167.35813953488375,0.0,0.0,0.0,,,
l,250.1250625312661,9.154577288644322,13,l,9.15300000000002,23.0,244.0,10.0,168.0,169.4915,0.7170251792562929,167.35813953488417,0.0,0.0,0.0,,,
r,233.4500583625143,9.521427380356846,14,r,9.49600000000001,26.0,240.0,9.0,0.0,170.4545,0.7003501750875429,171.34285714285733,0.0,0.0,0.0,,,
l,233.45005836251607,9.871602467900615,14,l,9.861000000000026,24.0,236.0,10.0,182.0,172.9107,0.7003501750875447,171.3428571428569,0.0,0.0,0.0,,,
r,233.45005836251607,10.221777555444389,15,r,10.200000000000015,27.0,230.0,11.0,0.0,173.6614,0.7003501750875429,171.34285714285733,0.0,0.0,0.0,,,
l,233.45005836251607,10.57195264298816,15,l,10.55500000000002,25.0,240.0,10.0,189.0,169.9717,0.6836751709187912,175.5219512195126,170.0,0.0,0.0,,,
r,233.45005836251607,10.922127730531932,16,r,10.891000000000012,28.0,240.0,9.0,0.0,172.1664,0.6836751709187947,175.5219512195117,170.0,0.0,0.0,,,
l,250.1250625312696,11.255627813906951,16,l,11.261000000000024,26.0,237.0,11.0,191.0,174.1655,0.7003501750875465,171.34285714285647,170.0,0.0,0.0,l,0.2334500583625161,11.255627813906951
r,250.12506253126432,11.605802901450726,17,r,11.588000000000015,29.0,241.0,10.0,0.0,172.9107,0.7003501750875429,171.34285714285733,168.0,0.0,0.0,r,0.2334500583625143,11.605802901450726
l,233.4500583625143,11.955977988994498,17,l,11.950000000000015,27.0,231.0,11.0,198.0,176.9912,0.6836751709187929,175.52195121951215,168.0,0.0,0.0,l,0.2334500583625143,11.939302984825746
r,216.77505419376251,12.30615307653827,18,r,12.28200000000001,30.0,232.0,10.0,0.0,176.7305,0.6670001667500411,179.91000000000017,168.0,0.0,0.0,r,0.2001000500250125,12.30615307653827
l,233.45005836251252,12.63965315991329,18,l,12.62800000000002,28.0,232.0,10.0,216.0,174.9271,0.6670001667500411,179.91000000000017,168.0,0.0,0.0,l,0.2167750541937607,12.63965315991329
r,233.45005836251607,12.97315324328831,19,r,12.961000000000013,31.0,224.0,10.0,0.0,178.3061,0.6836751709187929,175.52195121951215,168.0,0.0,0.0,,,
l,250.1250625312661,13.306653326663332,19,l,13.314000000000014,29.0,235.0,10.0,264.0,176.9912,0.6836751709187929,175.52195121951215,168.0,0.0,0.0,,,
r,233.4500583625143,13.656828414207103,20,r,13.634000000000007,32.0,240.0,8.0,0.0,171.6738,0.7003501750875447,171.3428571428569,168.0,0.0,151.0,,,
l,250.1250625312661,13.990328497582125,20,l,13.992000000000012,30.0,245.0,9.0,265.0,173.1602,0.7170251792562947,167.35813953488375,168.0,0.0,151.0,,,
r,233.4500583625143,14.357178589294648,21,r,14.333000000000013,33.0,242.0,9.0,0.0,174.6725,0.6836751709187912,175.5219512195126,168.0,0.0,151.0,,,
l,233.4500583625143,14.70735367683842,21,l,14.68500000000001,31.0,241.0,10.0,269.0,173.4104,0.6670001667500411,179.91000000000017,168.0,0.0,151.0,,,
r,233.45005836251607,15.04085376021344,22,r,15.02000000000001,34.0,235.0,10.0,271.0,175.1825,0.6836751709187947,175.5219512195117,168.0,0.0,151.0,,,
l,250.12506253126784,15.37435384358846,22,l,15.37700000000001,32.0,242.0,9.0,245.0,175.4386,0.7003501750875447,171.3428571428569,168.0,0.0,151.0,,,
r,233.4500583625143,15.724528931132234,23,r,15.705000000000004,35.0,232.0,10.0,176.0,172.9107,0.7003501750875429,171.34285714285733,168.0,0.0,151.0,,,
l,233.4500583625143,16.074704018676005,23,l,16.061000000000007,33.0,241.0,10.0,238.0,173.4104,0.6836751709187929,175.52195121951215,168.0,0.0,151.0,,,
r,233.4500583625143,16.424879106219777,24,r,16.399,36.0,236.0,9.0,152.0,172.6619,0.6836751709187929,175.52195121951215,168.0,0.0,151.0,,,
l,250.12506253126432,16.758379189594798,24,l,16.753000000000007,34.0,247.0,9.0,231.0,172.6619,0.7003501750875429,171.34285714285733,168.0,0.0,153.0,,,
r,233.4500583625143,17.10855427713857,25,r,17.09400000000001,37.0,240.0,9.0,131.0,175.6955,0.7003501750875429,171.34285714285733,168.0,0.0,153.0,,,
l,250.12506253126432,17.45872936468234,25,l,17.448,35.0,241.0,9.0,260.0,175.4386,0.6836751709187894,175.52195121951306,168.0,0.0,153.0,,,
r,233.4500583625143,17.808904452226113,26,r,17.777000000000008,38.0,238.0,9.0,113.0,170.697,0.6836751709187929,175.52195121951215,168.0,0.0,154.0,,,
l,250.12506253126784,18.14240453560113,26,l,18.132000000000005,36.0,246.0,9.0,241.0,169.9717,0.70035017508755,171.34285714285562,168.0,0.0,154.0,,,
r,250.12506253126784,18.492579623144906,27,r,18.480000000000004,39.0,249.0,8.0,114.0,174.6725,0.6836751709187929,175.52195121951215,168.0,0.0,154.0,,,
l,250.12506253126432,18.84275471068868,27,l,18.838000000000008,37.0,246.0,9.0,193.0,174.4186,0.7003501750875429,171.34285714285733,168.0,0.0,155.0,,,
r,233.4500583625143,19.1762547940637,28,r,19.167,40.0,234.0,10.0,116.0,172.4138,0.7003501750875429,171.34285714285733,168.0,0.0,155.0,,,
l,250.12506253126432,19.543104885776224,28,l,19.52600000000001,38.0,247.0,10.0,197.0,172.4138,0.7003501750875429,171.34285714285733,170.0,0.0,157.0,,,
r,250.12506253126784,19.87660496915124,29,r,19.863,41.0,244.0,9.0,129.0,170.697,0.7170251792562894,167.358139534885,170.0,0.0,157.0,,,
l,233.4500583625143,20.243455060863766,29,l,20.222000000000016,39.0,245.0,9.0,196.0,173.1602,0.6836751709187929,175.52195121951215,170.0,0.0,157.0,,,
r,233.4500583625143,20.59363014840753,30,r,20.565999999999995,42.0,240.0,8.0,160.0,174.6725,0.6836751709188,175.52195121951033,170.0,0.0,157.0,,,
l,250.12506253126432,20.92713023178256,30,l,20.915000000000013,40.0,243.0,9.0,195.0,173.913,0.6836751709187929,175.52195121951215,170.0,0.0,157.0,,,
r,233.4500583625143,21.27730531932633,31,r,21.253,43.0,240.0,10.0,193.0,174.6725,0.6836751709187929,175.52195121951215,170.0,0.0,157.0,,,
l,250.12506253126432,21.610805402701352,31,l,21.60500000000001,41.0,246.0,8.0,208.0,173.4104,0.7003501750875394,171.3428571428582,172.0,0.0,157.0,,,
r,233.4500583625178,21.960980490245124,32,r,,,,,,,0.7003501750875429,171.34285714285733,172.0,0.0,157.0,,,
l,250.12506253126784,22.31115557778889,32,l,22.29700000000002,42.0,243.0,8.0,219.0,173.4104,0.70035017508755,171.34285714285562,172.0,0.0,157.0,,,
r,233.4500583625143,22.661330665332667,33,r,22.634999999999984,45.0,242.0,9.0,208.0,171.4286,0.7003501750875429,171.34285714285733,172.0,0.0,159.0,,,
l,250.1250625312607,23.01150575287644,33,l,22.989000000000026,43.0,243.0,9.0,177.0,169.4915,0.7003501750875394,171.3428571428582,172.0,0.0,159.0,,,
r,233.4500583625143,23.36168084042021,34,r,23.334999999999987,46.0,238.0,9.0,209.0,172.6619,0.70035017508755,171.34285714285562,172.0,0.0,159.0,,,
l,250.12506253126784,23.71185592796398,34,l,23.697000000000024,44.0,247.0,8.0,143.0,172.6619,0.7003501750875465,171.34285714285647,172.0,0.0,160.0,,,
r,233.4500583625143,24.06203101550776,35,r,24.03,47.0,232.0,10.0,202.0,171.184,0.7003501750875394,171.3428571428582,172.0,0.0,160.0,,,
l,250.12506253126432,24.412206103051528,35,l,24.392000000000017,45.0,251.0,9.0,136.0,173.4104,0.6836751709187929,175.52195121951215,172.0,0.0,160.0,,,
r,233.4500583625143,24.7623811905953,36,r,24.730999999999987,48.0,243.0,9.0,235.0,172.9107,0.6836751709187894,175.52195121951306,172.0,0.0,161.0,,,
l,250.12506253126432,25.09588127397032,36,l,25.084000000000024,46.0,238.0,10.0,136.0,172.4138,0.7003501750875429,171.34285714285733,172.0,0.0,161.0,,,
