YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
r,323.0586721932397,0.0500250125062531,1,r,0.0700000000000002,6.0,228.0,16.0,0.0,188.0878,0.6003001500750375,199.90000000000003,,,
l,343.97822287767286,0.3501750875437718,1,l,0.3500000000000014,5.0,199.0,16.0,82.0,201.005,0.5669501417375354,211.65882352941176,,,
r,323.0586721932397,0.6503251625812906,2,r,0.7080000000000002,7.0,258.0,16.0,0.0,180.9955,0.5836251459062866,205.6114285714285,0.0,0.0,0.0
l,343.97822287767286,0.9171252292813072,2,l,0.9470000000000028,6.0,243.0,16.0,92.0,193.5484,0.6169751542437885,194.4972972972973,0.0,0.0,0.0
r,323.0586721932397,1.2339503084875771,3,r,1.3710000000000004,8.0,288.0,16.0,0.0,171.9198,0.6003001500750373,199.90000000000003,0.0,0.0,0.0
l,343.97822287767286,1.5341003835250957,3,l,1.5670000000000035,7.0,237.0,16.0,122.0,184.8998,0.6503251625812907,184.5230769230769,0.0,0.0,0.0
r,323.0586721932397,1.8342504585626145,4,r,2.068999999999999,9.0,292.0,16.0,0.0,170.697,0.6836751709187929,175.52195121951215,0.0,0.0,0.0
l,343.97822287767286,2.1844255461063864,4,l,2.216000000000001,8.0,278.0,16.0,187.0,179.1045,0.6670001667500416,179.91000000000005,0.0,0.0,0.0
r,323.0586721932397,2.5179256294814074,5,r,2.772,10.0,294.0,16.0,0.0,169.7313,0.7003501750875434,171.34285714285724,0.0,0.0,0.0
l,343.97822287767286,2.851425712856428,5,l,2.886000000000003,9.0,298.0,16.0,253.0,167.5978,0.7003501750875438,171.34285714285713,0.0,0.0,0.0
r,323.0586721932397,3.218275804568951,6,r,3.478999999999997,11.0,308.0,16.0,0.0,168.5393,0.6836751709187934,175.52195121951203,0.0,0.0,0.0
l,343.97822287767286,3.551775887943972,6,l,3.602000000000004,10.0,310.0,16.0,226.0,171.9198,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,323.0586721932397,3.901950975487744,7,r,4.190999999999997,12.0,300.0,13.0,0.0,166.4355,0.7170251792562938,167.35813953488395,0.0,0.0,0.0
l,343.97822287767286,4.2688010672002665,7,l,4.300000000000001,11.0,315.0,16.0,217.0,165.9751,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,323.0586721932397,4.618976154744038,8,r,4.912000000000001,13.0,295.0,13.0,419.0,166.8985,0.7003501750875438,171.34285714285713,0.0,0.0,0.0
l,343.97822287767286,4.985826246456561,8,l,5.023000000000003,12.0,321.0,16.0,212.0,166.6667,0.7003501750875438,171.34285714285713,0.0,0.0,0.0
r,323.0586721932397,5.319326329831582,9,r,5.630999999999999,14.0,282.0,14.0,424.0,160.8579,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
l,343.97822287767286,5.686176421544105,9,l,5.743000000000002,13.0,320.0,8.0,209.0,166.6667,0.7337001834250456,163.55454545454552,0.0,0.0,0.0
r,323.0586721932397,6.0363515090878765,10,r,6.377000000000001,15.0,297.0,15.0,464.0,163.7108,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
l,343.97822287767286,6.419876604969151,10,l,6.4630000000000045,14.0,326.0,9.0,216.0,165.2893,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,323.0586721932397,6.770051692512923,11,r,7.110000000000001,16.0,332.0,12.0,469.0,161.2903,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
l,343.97822287767286,7.136901784225445,11,l,7.189000000000004,15.0,326.0,7.0,224.0,161.2903,0.7337001834250456,163.55454545454552,0.0,0.0,0.0
r,323.0586721932397,7.52042688010672,12,r,7.854000000000001,17.0,339.0,7.0,444.0,163.0435,0.7337001834250456,163.55454545454552,0.0,0.0,0.0
l,303.52509588127407,7.870601967650491,12,l,7.933000000000003,16.0,336.0,9.0,202.0,162.1622,0.7337001834250456,163.55454545454552,0.0,0.0,0.0
r,323.0586721932397,8.254127063531765,13,r,8.590000000000002,18.0,288.0,15.0,370.0,160.6426,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
l,320.200100050025,8.604302151075537,13,l,8.673000000000002,17.0,344.0,8.0,146.0,161.7251,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
r,303.5250958812768,8.97115224278806,14,r,9.337000000000002,19.0,347.0,8.0,280.0,162.6016,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
l,336.875104218775,9.338002334500583,14,l,9.415000000000006,18.0,364.0,6.0,146.0,162.6016,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
r,286.8500917125232,9.721527430381856,15,r,10.075,20.0,314.0,12.0,238.0,161.5074,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
l,336.875104218775,10.08837752209438,15,l,10.153000000000002,19.0,334.0,7.0,150.0,163.0435,0.7170251792562947,167.35813953488375,0.0,0.0,0.0
r,286.8500917125232,10.438552609638151,16,r,10.818000000000003,21.0,355.0,7.0,147.0,160.0,0.7670501917625483,156.44347826086948,0.0,0.0,0.0
l,320.200100050025,10.805402701350674,16,l,10.889000000000005,20.0,344.0,6.0,154.0,162.1622,0.7670501917625501,156.4434782608691,0.0,0.0,0.0
r,286.8500917125232,11.2056028014007,17,r,11.568000000000003,22.0,337.0,12.0,118.0,161.9433,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
l,320.200100050025,11.572452893113224,17,l,11.629,21.0,324.0,8.0,152.0,161.2903,0.7170251792562912,167.35813953488457,0.0,0.0,0.0
r,286.8500917125232,11.955977988994496,18,r,,,,,,,0.7503751875937983,159.9199999999997,0.0,0.0,0.0
l,386.9001167250304,12.289478072369516,18,l,12.373,22.0,304.0,6.0,200.0,160.4278,0.7337001834250483,163.5545454545449,0.0,0.0,0.0
r,303.5250958812732,12.706353176588294,19,r,13.045000000000003,24.0,341.0,8.0,116.0,162.8223,0.7003501750875412,171.34285714285778,0.0,0.0,0.0
l,353.5501083875268,13.023178255794564,19,l,13.121000000000002,23.0,315.0,14.0,173.0,160.8579,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
r,353.5501083875286,13.406703351675835,20,r,13.782000000000002,25.0,310.0,14.0,127.0,159.5745,0.7670501917625483,156.44347826086948,0.0,0.0,0.0
l,303.5250958812732,13.77355344338836,20,l,13.867,24.0,293.0,14.0,142.0,164.8352,0.7003501750875429,171.34285714285733,0.0,0.0,0.0
r,286.850091712525,14.173753543438384,21,r,14.534,26.0,343.0,7.0,140.0,165.0619,0.7003501750875447,171.3428571428569,0.0,0.0,0.0
l,370.22511255627865,14.473903618475903,21,l,14.595000000000002,25.0,315.0,14.0,138.0,161.2903,0.7670501917625483,156.44347826086948,0.0,0.0,0.0
r,353.5501083875268,14.874103718525928,22,r,15.261,27.0,354.0,7.0,134.0,158.3113,0.7503751875937947,159.92000000000044,0.0,0.0,0.0
l,336.8751042187768,15.240953810238452,22,l,15.339000000000002,26.0,299.0,14.0,139.0,160.8579,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
r,320.2001000500286,15.624478906119723,23,r,16.019,28.0,314.0,14.0,122.0,157.0681,0.7503751875938001,159.91999999999933,0.0,0.0,0.0
l,320.200100050025,15.991328997832248,23,l,16.084999999999997,27.0,322.0,15.0,135.0,163.0435,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
r,320.200100050025,16.374854093713523,24,r,16.783,29.0,301.0,14.0,131.0,165.0619,0.7670501917625465,156.44347826086985,0.0,0.0,0.0
l,353.5501083875286,16.741704185426045,24,l,16.820999999999994,28.0,310.0,5.0,136.0,156.4537,0.7670501917625501,156.4434782608691,0.0,0.0,0.0
r,320.200100050025,17.14190428547607,25,r,17.509999999999998,30.0,242.0,14.0,137.0,162.1622,0.7670501917625501,156.4434782608691,0.0,0.0,0.0
l,320.200100050025,17.508754377188595,25,l,17.587999999999997,29.0,349.0,6.0,137.0,160.2136,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
r,286.8500917125215,17.90895447723862,26,r,18.25,31.0,252.0,15.0,193.0,161.9433,0.7170251792563,167.3581395348825,0.0,0.0,0.0
l,303.525095881275,18.24245456061364,26,l,18.337,30.0,273.0,9.0,87.0,163.2653,0.7503751875938001,159.91999999999933,0.0,0.0,0.0
r,286.8500917125215,18.62597965649492,27,r,18.991,32.0,306.0,15.0,159.0,163.4877,0.7503751875937894,159.9200000000016,0.0,0.0,0.0
l,320.2001000500215,18.99282974820744,27,l,19.071999999999992,31.0,301.0,15.0,90.0,163.4877,0.7337001834250394,163.5545454545469,0.0,0.0,0.0
r,303.525095881275,19.37635484408871,28,r,19.72499999999999,33.0,300.0,14.0,148.0,163.7108,0.7003501750875394,171.3428571428582,0.0,0.0,0.0
l,353.5501083875286,19.72652993163248,28,l,19.806,32.0,291.0,15.0,133.0,164.3836,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
r,336.8751042187821,20.07670501917625,29,r,20.45799999999999,34.0,298.0,15.0,134.0,160.8579,0.7670501917625501,156.4434782608691,0.0,0.0,0.0
l,370.2251125562821,20.460230115057527,29,l,20.53599999999999,33.0,314.0,14.0,135.0,160.6426,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
r,286.850091712525,20.8437552109388,30,r,21.204,35.0,353.0,7.0,141.0,161.2903,0.7503751875938001,159.91999999999933,0.0,0.0,0.0
l,336.875104218775,21.193930298482577,30,l,21.28299999999999,34.0,331.0,7.0,171.0,164.3836,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
r,286.850091712525,21.5941303985326,31,r,21.948,36.0,303.0,14.0,174.0,160.6426,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
l,320.200100050025,21.94430548607637,31,l,22.012999999999987,35.0,353.0,6.0,200.0,159.787,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
r,286.8500917125215,22.327830581957645,32,r,22.694999999999983,37.0,337.0,8.0,166.0,161.7251,0.733700183425043,163.55454545454612,0.0,0.0,0.0
l,386.9001167250286,22.678005669501417,32,l,22.763999999999985,36.0,310.0,14.0,194.0,162.1622,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
r,303.525095881275,23.061530765382688,33,r,23.436999999999983,38.0,341.0,7.0,159.0,159.787,0.733700183425043,163.55454545454612,0.0,0.0,0.0
l,320.200100050025,23.428380857095213,33,l,23.503999999999987,37.0,297.0,6.0,199.0,160.8579,0.7337001834250465,163.5545454545453,0.0,0.0,0.0
r,286.8500917125286,23.79523094880773,34,r,24.18799999999998,39.0,304.0,15.0,100.0,159.1512,0.7670501917625536,156.4434782608684,0.0,0.0,0.0
l,386.9001167250286,24.16208104052026,34,l,24.249999999999982,38.0,342.0,8.0,198.0,159.1512,0.7837251959313001,153.11489361702107,0.0,0.0,0.0
r,303.525095881275,24.562281140570285,35,r,24.94199999999998,40.0,351.0,8.0,126.0,161.7251,0.7670501917625465,156.44347826086985,0.0,0.0,0.0
l,336.8751042187715,24.94580623645156,35,l,25.00399999999998,39.0,318.0,14.0,198.0,161.2903,0.733700183425043,163.55454545454612,0.0,0.0,0.0
r,286.850091712525,25.32933133233283,36,r,25.683999999999976,41.0,357.0,7.0,128.0,160.2136,0.7337001834250501,163.55454545454452,0.0,0.0,0.0
l,320.200100050025,25.679506419876603,36,l,25.74799999999998,40.0,356.0,6.0,153.0,160.8579,0.7503751875937965,159.92000000000007,0.0,0.0,0.0
