YOLO_Foot,YOLO_Contact_Time,YOLO_Start_Time,YOLO_Step_Count,Runscribe_Foot,Runscribe_Start_Time,Runscribe_Step_Count,Runscribe_Contact_Time,Runscribe_Footstrike_Type,Runscribe_Power,Runscribe_Cadence,YOLO_Time_Diff,YOLO_Cadence,Watch_Cadence,Watch_GCT,Watch_Heart_Rate
r,333.5000833750208,0.016675004168751,1,r,0.367,6.0,312.0,7.0,0.0,152.2843,0.7503751875937968,159.92,0.0,,0.0
l,300.1500750375188,0.3501750875437718,1,l,0.034,7.0,306.0,16.0,0.0,153.0612,0.767050191762548,156.44347826086954,0.0,,0.0
r,300.1500750375188,0.7670501917625479,2,r,1.155,7.0,296.0,9.0,0.0,150.7538,0.750375187593797,159.92,0.0,,0.0
l,300.1500750375185,1.1172252793063198,2,l,0.8180000000000001,8.0,302.0,16.0,0.0,152.2843,0.8004002001000499,149.92500000000004,0.0,,0.0
r,300.1500750375188,1.5174253793563448,3,r,1.951,8.0,306.0,10.0,0.0,155.0388,0.7837251959312987,153.11489361702132,0.0,,0.0
l,300.150075037519,1.9176254794063696,3,l,1.606,9.0,291.0,16.0,0.0,154.0436,0.7670501917625481,156.44347826086954,0.0,,0.0
r,316.8250792062701,2.3011505752876436,4,r,2.725,9.0,329.0,11.0,0.0,155.8442,0.7670501917625479,156.44347826086957,0.0,,0.0
l,300.1500750375188,2.6846756711689177,4,l,2.385,10.0,308.0,14.0,0.0,156.25,0.7670501917625479,156.44347826086957,0.0,,93.0
r,333.500083375021,3.0682007670501914,5,r,3.495,10.0,308.0,11.0,0.0,154.0436,0.7503751875937974,159.9199999999999,0.0,,93.0
l,333.50008337502055,3.4517258629314655,5,l,3.1529999999999996,11.0,320.0,13.0,0.0,153.8462,0.7670501917625483,156.44347826086948,0.0,,93.0
r,366.8500917125223,3.818575954643989,6,r,4.274,11.0,306.0,11.0,0.0,155.4404,0.7837251959312983,153.1148936170214,0.0,,93.0
l,333.50008337502055,4.218776054694014,6,l,3.933,12.0,314.0,14.0,0.0,155.0388,0.7837251959312983,153.1148936170214,0.0,,93.0
r,350.1750875437723,4.602301150575287,7,r,5.046,12.0,351.0,12.0,0.0,153.4527,0.7670501917625483,156.44347826086948,0.0,,93.0
l,333.50008337502055,5.002501250625312,7,l,4.707,13.0,344.0,14.0,0.0,151.7067,0.7670501917625483,156.44347826086948,0.0,,93.0
r,366.8500917125223,5.369351342337835,8,r,5.827999999999999,13.0,314.0,10.0,406.0,153.4527,0.8004002001000501,149.92499999999998,0.0,,93.0
l,333.50008337502055,5.76955144238786,8,l,5.498,14.0,307.0,13.0,653.0,153.0612,0.7837251959312983,153.1148936170214,0.0,,93.0
r,333.50008337502055,6.1697515424378855,9,r,6.609999999999999,14.0,318.0,10.0,409.0,151.5152,0.7670501917625474,156.44347826086968,0.0,,93.0
l,333.5000833750214,6.553276638319159,9,l,6.282,15.0,334.0,14.0,565.0,152.2843,0.7837251959312992,153.1148936170212,0.0,,94.0
r,350.1750875437723,6.936801734200433,10,r,7.401999999999999,15.0,336.0,9.0,349.0,155.2393,0.7837251959312992,153.1148936170212,0.0,,94.0
l,333.50008337502055,7.337001834250458,10,l,7.07,16.0,334.0,13.0,574.0,153.0612,0.8004002001000501,149.92499999999998,0.0,,94.0
r,350.1750875437723,7.720526930131732,11,r,8.175,16.0,346.0,10.0,377.0,151.8987,0.8004002001000492,149.92500000000015,0.0,,94.0
l,316.82507920626966,8.137402034350508,11,l,7.853999999999999,17.0,308.0,13.0,489.0,153.8462,0.7670501917625483,156.44347826086948,0.0,,94.0
r,350.1750875437732,8.520927130231781,12,r,8.965,17.0,326.0,10.0,352.0,155.0388,0.7837251959312983,153.1148936170214,0.0,,94.0
l,333.5000833750197,8.904452226113056,12,l,8.634,18.0,315.0,12.0,411.0,155.8442,0.7837251959313001,153.11489361702107,0.0,,94.0
r,350.1750875437732,9.30465232616308,13,r,9.738999999999995,18.0,343.0,10.0,256.0,153.8462,0.7670501917625501,156.4434782608691,0.0,,94.0
l,333.5000833750197,9.688177422044356,13,l,9.404000000000002,19.0,321.0,14.0,358.0,155.2393,0.7670501917625483,156.44347826086948,0.0,,94.0
r,366.8500917125215,10.07170251792563,14,r,10.518999999999998,19.0,331.0,10.0,162.0,154.6392,0.7670501917625465,156.44347826086985,0.0,,94.0
l,350.1750875437697,10.455227613806905,14,l,10.177,20.0,338.0,12.0,288.0,153.8462,0.7837251959312947,153.1148936170221,0.0,,94.0
r,350.1750875437732,10.838752709688176,15,r,11.294999999999998,20.0,332.0,10.0,160.0,154.6392,0.8004002001000501,149.92499999999998,0.0,,95.0
l,333.50008337502504,11.2389528097382,15,l,10.957000000000004,21.0,326.0,12.0,188.0,154.6392,0.7837251959313001,153.11489361702107,0.0,,95.0
r,333.5000833750214,11.639152909788226,16,r,12.070999999999998,21.0,332.0,10.0,121.0,155.2393,0.7670501917625501,156.4434782608691,154.0,,95.0
l,333.5000833750197,12.0226780056695,16,l,11.733,22.0,310.0,13.0,130.0,153.8462,0.7670501917625483,156.44347826086948,154.0,,95.0
r,350.1750875437697,12.406203101550776,17,r,12.843999999999998,22.0,343.0,9.0,138.0,153.4527,0.7837251959312965,153.11489361702175,154.0,,95.0
l,350.17508754377144,12.789728197432048,17,l,12.513000000000002,23.0,322.0,13.0,129.0,153.0612,0.7837251959313001,153.11489361702107,154.0,,97.0
r,350.1750875437732,13.189928297482073,18,r,13.625999999999998,23.0,327.0,10.0,217.0,152.6718,0.7670501917625465,156.44347826086985,154.0,,97.0
l,350.17508754377144,13.573453393363348,18,l,13.297000000000002,24.0,345.0,12.0,118.0,154.0436,0.7837251959312983,153.1148936170214,154.0,,97.0
r,366.850091712525,13.95697848924462,19,r,14.412,24.0,329.0,10.0,148.0,153.4527,0.7837251959313001,153.11489361702107,154.0,,97.0
l,333.5000833750214,14.357178589294646,19,l,14.076000000000002,25.0,336.0,12.0,123.0,152.2843,0.8004002001000501,149.92499999999998,154.0,,97.0
r,366.850091712525,14.74070368517592,20,r,15.194,25.0,331.0,10.0,202.0,155.0388,0.7837251959313001,153.11489361702107,154.0,,97.0
l,350.17508754377144,15.157578789394696,20,l,14.864000000000004,26.0,356.0,12.0,134.0,155.8442,0.7670501917625483,156.44347826086948,154.0,,97.0
r,366.850091712525,15.52442888110722,21,r,15.968,26.0,341.0,11.0,184.0,153.2567,0.7837251959313001,153.11489361702107,154.0,,97.0
l,366.8500917125215,15.924628981157245,21,l,15.634000000000002,27.0,316.0,13.0,105.0,153.4527,0.7837251959313001,153.11489361702107,154.0,,97.0
r,366.8500917125215,16.30815407703852,22,r,16.751,27.0,326.0,10.0,165.0,153.0612,0.7837251959312965,153.11489361702175,154.0,,97.0
l,333.5000833750179,16.708354177088545,22,l,16.416,28.0,344.0,13.0,111.0,153.6492,0.7670501917625465,156.44347826086985,154.0,,100.0
r,350.17508754377144,17.091879272969816,23,r,17.535,28.0,326.0,11.0,166.0,155.0388,0.7837251959313001,153.11489361702107,154.0,,100.0
l,350.17508754377144,17.47540436885109,23,l,17.197,29.0,313.0,13.0,150.0,155.0388,0.8004002001000501,149.92499999999998,154.0,,100.0
r,350.17508754377144,17.875604468901116,24,r,18.309000000000005,29.0,327.0,10.0,133.0,153.4527,0.7670501917625465,156.44347826086985,154.0,,103.0
l,333.5000833750214,18.27580456895114,24,l,17.971000000000004,30.0,322.0,13.0,154.0,153.0612,0.7670501917625465,156.44347826086985,154.0,,103.0
r,350.1750875437679,18.642654660663663,25,r,19.091000000000005,30.0,341.0,10.0,99.0,153.8462,0.7837251959313001,153.11489361702107,154.0,,105.0
l,350.17508754377144,19.042854760713688,25,l,18.755000000000003,31.0,338.0,12.0,158.0,154.6392,0.7837251959313001,153.11489361702107,154.0,,105.0
r,366.8500917125215,19.426379856594963,26,r,19.87100000000001,31.0,337.0,11.0,83.0,153.8462,0.7670501917625465,156.44347826086985,154.0,,105.0
l,350.17508754377144,19.826579956644988,26,l,19.531,32.0,356.0,12.0,160.0,152.6718,0.7837251959313001,153.11489361702107,154.0,,108.0
r,366.8500917125215,20.19343004835751,27,r,20.651000000000007,32.0,337.0,11.0,107.0,153.4527,0.8004002001000501,149.92499999999998,154.0,,108.0
l,350.17508754377144,20.610305152576288,27,l,20.317000000000004,33.0,358.0,12.0,157.0,156.658,0.7837251959312965,153.11489361702175,154.0,,110.0
r,350.17508754377144,20.99383024845756,28,r,,,,,,,0.7837251959313001,153.11489361702107,154.0,,110.0
l,350.17508754377144,21.394030348507584,28,l,21.083,34.0,347.0,12.0,146.0,154.8387,0.7670501917625501,156.4434782608691,154.0,,110.0
r,366.8500917125215,21.77755544438886,29,r,22.210000000000008,34.0,338.0,10.0,38.0,158.3113,0.7670501917625501,156.4434782608691,154.0,,114.0
l,366.8500917125215,22.161080540270135,29,l,21.858000000000004,35.0,334.0,12.0,150.0,160.0,0.7670501917625465,156.44347826086985,154.0,,114.0
r,366.8500917125215,22.54460563615141,30,r,22.968000000000007,35.0,339.0,11.0,41.0,156.658,0.7670501917625465,156.44347826086985,154.0,,118.0
l,350.17508754377144,22.92813073203268,30,l,22.608000000000004,36.0,362.0,13.0,118.0,152.6718,0.7670501917625501,156.4434782608691,154.0,,118.0
r,366.850091712525,23.311655827913956,31,r,23.734000000000005,36.0,338.0,13.0,38.0,152.6718,0.7670501917625465,156.44347826086985,154.0,,118.0
l,350.17508754377144,23.69518092379523,31,l,23.394000000000005,37.0,310.0,12.0,83.0,153.4527,0.7837251959312965,153.11489361702175,152.0,,121.0
r,366.850091712525,24.078706019676503,32,r,24.520000000000007,37.0,328.0,9.0,34.0,157.2739,0.7837251959313001,153.11489361702107,152.0,,121.0
l,333.5000833750214,24.478906119726528,32,l,24.176000000000005,38.0,322.0,13.0,182.0,154.2416,0.7670501917625536,156.4434782608684,152.0,,121.0
r,350.175087543775,24.862431215607803,33,r,,,,,,,0.7837251959313001,153.11489361702107,152.0,,124.0
l,350.1750875437679,25.24595631148908,33,l,24.954000000000004,39.0,331.0,13.0,196.0,157.4803,0.8004002001000465,149.92500000000067,152.0,,124.0
r,366.8500917125215,25.646156411539103,34,r,,,,,,,0.7670501917625465,156.44347826086985,152.0,,124.0
l,316.8250792062679,26.046356511589128,34,l,25.716000000000005,40.0,311.0,13.0,196.0,152.4778,0.7503751875937965,159.92000000000007,152.0,,124.0
r,333.5000833750214,26.41320660330165,35,r,26.831000000000003,39.0,333.0,10.0,33.0,151.5152,0.7670501917625465,156.44347826086985,152.0,,124.0
l,333.5000833750214,26.796731699182924,35,l,26.503000000000004,41.0,318.0,13.0,202.0,155.0388,0.7837251959312965,153.11489361702175,152.0,,125.0
r,366.850091712525,27.180256795064196,36,r,27.623000000000005,40.0,324.0,9.0,30.0,157.4803,0.7837251959313001,153.11489361702107,152.0,,125.0
l,350.17508754377144,27.58045689511422,36,l,27.277000000000005,42.0,326.0,12.0,205.0,157.4803,0.7837251959313001,153.11489361702107,152.0,,126.0
r,350.17508754377144,27.963981990995496,37,r,28.385,41.0,322.0,13.0,112.0,154.4402,0.767050191762543,156.4434782608706,152.0,,126.0
l,316.8250792062714,28.36418209104552,37,l,28.039000000000005,43.0,340.0,12.0,202.0,153.0612,0.7670501917625465,156.44347826086985,152.0,,126.0
r,333.50008337502504,28.73103218275804,38,r,29.162000000000003,42.0,328.0,14.0,121.0,151.5152,0.7837251959313036,153.11489361702036,154.0,,126.0
l,333.5000833750214,29.131232282808067,38,l,28.823000000000008,44.0,324.0,12.0,217.0,151.5152,0.7837251959313001,153.11489361702107,154.0,,126.0
r,350.1750875437679,29.514757378689342,39,r,29.954000000000004,43.0,349.0,13.0,117.0,156.658,0.8004002001000501,149.92499999999998,154.0,,125.0
l,316.8250792062714,29.914957478739368,39,l,29.61500000000001,45.0,335.0,13.0,222.0,154.0436,0.7837251959313001,153.11489361702107,154.0,,125.0
r,366.8500917125179,30.315157578789393,40,r,30.72,44.0,343.0,13.0,135.0,155.4404,0.7670501917625465,156.44347826086985,154.0,,125.0
l,333.5000833750214,30.698682674670668,40,l,30.394000000000005,46.0,299.0,12.0,147.0,156.658,0.7837251959312965,153.11489361702175,154.0,,125.0
r,350.17508754377144,31.08220777055194,41,r,31.492000000000004,45.0,339.0,10.0,152.0,154.2416,0.7670501917625501,156.4434782608691,154.0,,125.0
l,316.8250792062714,31.482407870601964,41,l,31.160000000000007,47.0,318.0,12.0,155.0,154.2416,0.7503751875938001,159.91999999999933,154.0,,125.0
r,350.1750875437679,31.84925796231449,42,r,32.27,46.0,336.0,10.0,162.0,155.2393,0.7837251959312965,153.11489361702175,154.0,,125.0
l,350.1750875437679,32.232783058195764,42,l,31.93800000000001,48.0,310.0,12.0,167.0,157.8947,0.7837251959312965,153.11489361702175,154.0,,125.0
r,350.175087543775,32.632983158245786,43,r,33.043,47.0,328.0,10.0,162.0,157.0681,0.7670501917625501,156.4434782608691,154.0,,125.0
l,333.5000833750214,33.01650825412706,43,l,32.698000000000015,49.0,332.0,12.0,163.0,153.8462,0.7670501917625501,156.4434782608691,154.0,,125.0
r,350.175087543775,33.400033350008336,44,r,,,,,,,0.7670501917625501,156.4434782608691,154.0,,125.0
l,333.5000833750214,33.78355844588961,44,l,33.478000000000016,50.0,305.0,13.0,156.0,155.4404,0.7837251959312965,153.11489361702175,154.0,,125.0
r,350.1750875437679,34.167083541770886,45,r,34.580999999999996,49.0,335.0,12.0,127.0,157.4803,0.767050191762543,156.4434782608706,154.0,,125.0
l,316.8250792062679,34.56728364182091,45,l,34.250000000000014,51.0,309.0,12.0,155.0,161.2903,0.7670501917625501,156.4434782608691,154.0,,124.0
r,366.8500917125286,34.93413373353343,46,r,35.343,50.0,352.0,9.0,129.0,155.2393,0.7670501917625501,156.4434782608691,154.0,,124.0
l,333.5000833750214,35.33433383358346,46,l,34.994000000000014,52.0,329.0,12.0,143.0,152.8662,0.7503751875937965,159.92000000000007,154.0,,124.0
r,366.8500917125215,35.70118392529598,47,r,36.11600000000001,51.0,347.0,8.0,128.0,155.4404,0.7670501917625501,156.4434782608691,154.0,,124.0
l,333.5000833750214,36.084709021177254,47,l,35.77900000000001,53.0,316.0,12.0,135.0,157.0681,0.7837251959312965,153.11489361702175,154.0,,124.0
r,366.8500917125215,36.46823411705853,48,r,36.888000000000005,52.0,323.0,9.0,108.0,155.8442,0.767050191762543,156.4434782608706,154.0,,124.0
l,333.5000833750214,36.86843421710855,48,l,36.54300000000001,54.0,310.0,11.0,111.0,153.8462,0.7670501917625501,156.4434782608691,154.0,,125.0
r,350.175087543775,37.23528430882107,49,r,37.65800000000001,53.0,323.0,11.0,89.0,155.0388,0.7837251959313036,153.11489361702036,154.0,,125.0
l,333.5000833750214,37.6354844088711,49,l,37.323000000000015,55.0,298.0,13.0,90.0,157.4803,0.7837251959312965,153.11489361702175,154.0,,126.0
r,350.1750875437679,38.019009504752376,50,r,38.43200000000001,54.0,326.0,9.0,92.0,156.0468,0.767050191762543,156.4434782608706,154.0,,126.0
l,316.825079206275,38.4192096048024,50,l,38.085000000000015,56.0,312.0,13.0,99.0,155.8442,0.7670501917625501,156.4434782608691,154.0,,126.0
r,350.175087543775,38.78605969651492,51,r,39.20100000000001,55.0,318.0,13.0,95.0,157.0681,0.7670501917625501,156.4434782608691,154.0,,126.0
l,316.8250792062679,39.18625979656495,51,l,38.85500000000002,57.0,310.0,13.0,112.0,155.4404,0.7670501917625501,156.4434782608691,154.0,,126.0
