timestamp,cadence,gct,heart_rate
1698432078.0,0.0,0,0.0
1698432079.0,0.0,0,0.0
1698432080.0,0.0,0,0.0
1698432081.0,0.0,0,0.0
1698432082.0,0.0,0,0.0
1698432083.0,0.0,0,0.0
1698432084.0,0.0,0,0.0
1698432085.0,0.0,0,0.0
1698432086.0,166.0,0,0.0
1698432087.0,168.0,0,0.0
1698432088.0,166.0,0,0.0
1698432089.0,166.0,0,0.0
1698432090.0,166.0,0,0.0
1698432091.0,166.0,0,0.0
1698432092.0,166.0,0,0.0
1698432093.0,166.0,0,0.0
1698432094.0,166.0,0,0.0
1698432095.0,168.0,0,0.0
1698432096.0,168.0,0,0.0
1698432097.0,168.0,0,0.0
1698432098.0,166.0,0,0.0
1698432099.0,166.0,0,0.0
1698432100.0,166.0,0,0.0
1698432101.0,166.0,0,0.0
1698432102.0,164.0,0,0.0
1698432103.0,162.0,0,0.0
1698432104.0,162.0,0,0.0
1698432105.0,162.0,0,0.0
1698432106.0,162.0,0,0.0
1698432107.0,162.0,0,0.0
1698432108.0,162.0,0,0.0
1698432109.0,164.0,0,0.0
1698432110.0,164.0,0,0.0
1698432111.0,164.0,0,0.0
1698432112.0,164.0,0,96.0
1698432113.0,166.0,0,98.0
1698432114.0,166.0,0,100.0
1698432115.0,166.0,0,100.0
1698432116.0,166.0,0,100.0
1698432117.0,166.0,0,100.0
1698432118.0,166.0,0,100.0
1698432119.0,166.0,0,100.0
1698432120.0,166.0,0,102.0
1698432121.0,166.0,0,104.0
1698432122.0,166.0,0,104.0
1698432123.0,166.0,0,104.0
1698432124.0,166.0,0,104.0
1698432125.0,166.0,0,104.0
1698432126.0,166.0,0,104.0
1698432127.0,166.0,0,104.0
1698432128.0,166.0,0,104.0
1698432129.0,166.0,0,104.0
1698432130.0,166.0,0,104.0
1698432131.0,166.0,0,104.0
1698432132.0,166.0,0,105.0
1698432133.0,166.0,0,105.0
1698432134.0,166.0,0,106.0
1698432135.0,168.0,0,106.0
1698432136.0,168.0,0,108.0
1698432137.0,168.0,0,110.0
1698432138.0,168.0,0,113.0
1698432139.0,168.0,0,114.0
1698432140.0,168.0,0,116.0
1698432141.0,168.0,0,117.0
1698432142.0,168.0,0,118.0
1698432143.0,168.0,0,120.0
1698432144.0,168.0,0,122.0
1698432145.0,168.0,0,123.0
1698432146.0,168.0,0,124.0
1698432147.0,168.0,0,125.0
1698432148.0,166.0,0,125.0
1698432149.0,166.0,0,128.0
1698432150.0,166.0,0,128.0
1698432151.0,166.0,0,128.0
1698432152.0,166.0,0,128.0
1698432153.0,166.0,0,129.0
1698432154.0,166.0,0,130.0
1698432155.0,166.0,0,132.0
1698432156.0,166.0,0,134.0
1698432157.0,166.0,0,136.0
1698432158.0,166.0,0,137.0
1698432159.0,166.0,0,138.0
1698432160.0,166.0,0,139.0
1698432161.0,166.0,0,140.0
1698432162.0,166.0,0,140.0
1698432163.0,166.0,0,140.0
1698432164.0,166.0,0,140.0
