timestamp,cadence,gct,heart_rate,timestamp.1,index
1709309245,194,0,146,1709309514,155
1709309246,196,0,146,1709309515,156
1709309247,194,0,146,1709309516,157
1709309248,194,0,146,1709309517,158
1709309249,194,0,146,1709309518,159
1709309250,194,0,146,1709309519,160
1709309251,192,0,146,1709309520,161
1709309252,192,0,146,1709309521,162
1709309253,192,0,146,1709309522,163
1709309254,192,0,146,1709309523,164
1709309255,194,0,146,1709309524,165
1709309256,194,0,147,1709309525,166
1709309257,194,0,148,1709309526,167
1709309258,194,0,148,1709309527,168
1709309259,194,0,148,1709309528,169
1709309260,194,0,148,1709309529,170
1709309261,194,0,148,1709309530,171
1709309262,194,0,148,1709309531,172
1709309263,194,0,148,1709309532,173
1709309264,196,0,148,1709309533,174
1709309265,196,0,148,1709309534,175
1709309266,196,0,148,1709309535,176
1709309267,196,0,148,1709309536,177
1709309268,196,0,148,1709309537,178
1709309269,194,0,148,1709309538,179
1709309270,194,0,148,1709309539,180
1709309271,192,0,148,1709309540,181
1709309272,192,0,147,1709309541,182
1709309273,192,0,147,1709309542,183
1709309274,192,0,147,1709309543,184
1709309275,192,0,147,1709309544,185
1709309276,192,0,146,1709309545,186
1709309277,192,0,146,1709309546,187
1709309278,192,0,146,1709309547,188
1709309279,192,0,146,1709309548,189
1709309280,194,0,146,1709309549,190
1709309281,194,0,146,1709309550,191
1709309282,196,0,146,1709309551,192
1709309283,196,0,146,1709309552,193
1709309284,196,0,146,1709309553,194
1709309285,196,0,146,1709309554,195
1709309286,196,0,146,1709309555,196
1709309287,194,0,146,1709309556,197
1709309288,194,0,146,1709309557,198
1709309289,194,0,146,1709309558,199
1709309290,194,0,147,1709309559,200
1709309291,192,0,147,1709309560,201
1709309292,192,0,148,1709309561,202
1709309293,192,0,148,1709309562,203
1709309294,194,0,148,1709309563,204
1709309295,194,0,148,1709309564,205
1709309296,194,0,148,1709309565,206
1709309297,194,0,147,1709309566,207
1709309298,194,0,147,1709309567,208
1709309299,192,0,147,1709309568,209
1709309300,192,0,147,1709309569,210
1709309301,192,0,147,1709309570,211
1709309302,192,0,147,1709309571,212
1709309303,192,0,148,1709309572,213
1709309304,194,0,147,1709309573,214
1709309305,194,0,147,1709309574,215
1709309306,194,0,147,1709309575,216
1709309307,192,0,147,1709309576,217
