timestamp,cadence,gct,heart_rate
1698433830.0,0.0,,0.0
1698433831.0,0.0,,0.0
1698433832.0,0.0,,0.0
1698433833.0,0.0,,0.0
1698433834.0,0.0,,0.0
1698433835.0,0.0,,0.0
1698433836.0,0.0,,0.0
1698433837.0,0.0,,0.0
1698433838.0,0.0,,0.0
1698433839.0,0.0,,0.0
1698433840.0,154.0,,0.0
1698433841.0,158.0,,0.0
1698433842.0,160.0,,0.0
1698433843.0,160.0,,0.0
1698433844.0,164.0,,0.0
1698433845.0,166.0,,0.0
1698433846.0,166.0,,0.0
1698433847.0,166.0,,0.0
1698433848.0,166.0,,0.0
1698433849.0,166.0,,0.0
1698433850.0,166.0,,0.0
1698433851.0,166.0,,0.0
1698433852.0,166.0,,0.0
1698433853.0,166.0,,0.0
1698433854.0,166.0,,0.0
1698433855.0,166.0,,0.0
1698433856.0,168.0,,0.0
1698433857.0,168.0,,0.0
1698433858.0,168.0,,0.0
1698433859.0,168.0,,0.0
1698433860.0,168.0,,0.0
1698433861.0,168.0,,0.0
1698433862.0,168.0,,0.0
1698433863.0,168.0,,0.0
1698433864.0,166.0,,96.0
1698433865.0,166.0,,97.0
1698433866.0,168.0,,97.0
1698433867.0,168.0,,99.0
1698433868.0,168.0,,99.0
1698433869.0,168.0,,99.0
1698433870.0,166.0,,99.0
1698433871.0,166.0,,99.0
1698433872.0,166.0,,99.0
1698433873.0,166.0,,99.0
1698433874.0,164.0,,99.0
1698433875.0,164.0,,100.0
1698433876.0,164.0,,100.0
1698433877.0,164.0,,100.0
1698433878.0,164.0,,103.0
1698433879.0,164.0,,103.0
1698433880.0,164.0,,103.0
1698433881.0,164.0,,103.0
1698433882.0,164.0,,103.0
1698433883.0,164.0,,103.0
1698433884.0,164.0,,103.0
1698433885.0,166.0,,104.0
1698433886.0,166.0,,104.0
1698433887.0,166.0,,104.0
1698433888.0,166.0,,104.0
1698433889.0,166.0,,104.0
1698433890.0,166.0,,105.0
1698433891.0,168.0,,105.0
1698433892.0,168.0,,106.0
1698433893.0,168.0,,106.0
1698433894.0,168.0,,106.0
1698433895.0,168.0,,106.0
1698433896.0,168.0,,106.0
1698433897.0,166.0,,106.0
1698433898.0,166.0,,107.0
1698433899.0,166.0,,108.0
1698433900.0,164.0,,108.0
1698433901.0,164.0,,108.0
1698433902.0,164.0,,108.0
1698433903.0,164.0,,108.0
1698433904.0,164.0,,108.0
1698433905.0,164.0,,108.0
1698433906.0,164.0,,108.0
1698433907.0,164.0,,110.0
1698433908.0,164.0,,110.0
1698433909.0,164.0,,110.0
1698433910.0,164.0,,110.0
1698433911.0,164.0,,110.0
1698433912.0,164.0,,110.0
1698433913.0,164.0,,110.0
1698433914.0,164.0,,110.0
1698433915.0,164.0,,110.0
1698433916.0,164.0,,110.0
